ee_name,freq
FRED R. GUMBINNER LIVING TRUST,18
"GARRISON LOAN AGENCY SERVICES LLC, AS AGENT",18
"GLEACHER PRODUCTS CORP., AS ADMINISTRATIVE AGENT",18
"GOLDMAN SACHS BDC, INC.",18
"GRACE BAY HOLDINGS II, LLC (AS SUCCESSOR-BY-ASSIGNMENT TO PARTNERS FOR GROWTH III, L.P.)",18
"GUGGENHEIM CORPORATE FUNDING, LLC, AS ADMINISTRATIVE AGENT",18
"HERCULES TECHNOLOGY II, L.P., AS COLLATERAL AGENT",18
HYUNDAI ELECTRONICS AMERICA,18
INSITE VISION INCORPORATED,18
"INTEGRA HOLDING AG, A SWISS CORPORATION",18
"KOYAH LEVERAGE PARTNERS, L.P., AS COLLATERAL AGENT",18
"LASALLE BUSINSES CREDIT, LLC",18
"MANUFACTURERS HANOVER TRUST COMPANY, A DE. CORP.",18
MERRILL LUNCH CAPITAL CORPORATION,18
"MICRON TECHNOLOGY, INC.",18
"NXT CAPITAL, LLC, AS AGENT",18
"OAK COURT PARTNERS, LTD.",18
"ORBIMED ROYALTY & CREDIT OPPORTUNITIES III, LP",18
ORIGIN FUTURE ENERGY PTY LTD,18
"PATHLIGHT CAPITAL LLC, AS AGENT",18
"PATRIARCH PARTNERS AGENCY SERVICES,LLC",18
PEAK HOLDING CORP.,18
"PMC, INC.",18
"PNC BANK, NATIONAL ASSOICATIONS, AS AGENT",18
"PORTSIDE GROWTH AND OPPORTUNITY FUND, AS COLLATERAL AGENT",18
"RANBAXY, INC.",18
"RDW CAPITAL, LLC",18
"RESPIRONICS, INC.",18
"ROS ACQUISITION OFFSHORE, LP",18
"SCALE VENTURE PARTNERS II, L.P., AS COLLATERAL AGENT",18
SECURITY PACIFIC NATIONAL BANK N.A.,18
"SENSORMATIC ELECTRONICS CORPORATION, A CORP. OF DE.",18
"SIMCA PARTNERS, L.P.",18
"STERLING COMMERCIAL CREDIT, LLC",18
THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,18
TORQUEST MANAGEMENT SERVICES LIMITED PARTNERSHIP,18
TRIANGLE CAPITAL CORPORATION,18
U.S. SMALL BUSINESS ADMINSTRATION,18
"UNION BANK OF CALIFORNIA, N.A. AS ""COLLATERAL AGENT"" FOR THE LENDERS",18
"VENTURE BANKING GROUP, A DIVISION OF CUPERTINO NATIONAL BANK",18
"WACHOVIA CAPITAL FINANCE CORPORATION (NEW ENGLAND), AS COLLATERAL AGENT",18
WEBSTER BUSINESS CREDIT COPORATION,18
"WELLS FARGO BANK, N.A., A NATIONAL BANKING ASSOC.",18
"WESTRIVER INNOVATION LENDING FUND VIII, L.P.",18
"YA GLOBALINVESTMENTS, L.P.",18
"AAVID THERMAL TECHNOLOGIES, INC.",17
"ABIOMED, INC.",17
"AFFYMETRIX, INC.",17
AMERICAN BANK OF COMMERCE,17
"AMERICAN CAPITAL FINANCIAL SERVICES, INC.",17
"BANK SOUTH, N.A.",17
"BAY PARTNERS XI PARALLEL FUND, L.P.",17
"BAY PARTNERS XI, L.P.",17
"BELLSOUTH ENTERPRISES, INC.",17
"BEST VASCULAR, INC.",17
"BHC INTERIM FUNDING II, L.P.",17
"CADENCE BANK, N.A.",17
"CAVALRY FUND I, LP",17
"CHASE MANHATTAN INTERNATIONAL LIMITED, AS SECURITY AGENT",17
"CINCINNATI SUB-ZERO PRODUCTS, INC.",17
"CONTRARIAN FINANCIAL SERVICE COMPANY, LLC",17
CRESCENT INTERNATIONAL LTD.,17
DRUG ROYALTY LP1,17
DRUG ROYALTY LP2,17
"DWORKIN, SID",17
"FOCUS STRATEGIES MERCHANT INVESTMENTS, LLC",17
"GENERAL ELECTRIC CAPITAL CORPORATION, AS U.S. AGENT",17
GENERAL MOTORS VENTURES LLC,17
"H.I.G. AERT, L.L.C., AS ADMINISTRATIVE AGENT",17
"HEALTHCARE FINANCIAL SOLUTIONS, LLC",17
"HOLOGIC, INC.",17
"IBJ SCHRODER BANK & TRUST COMPANY, AS AGENT",17
JEFFERIES FINANCE LLC (AS COLLATERAL AGENT),17
KAVLICO CORPORATION,17
"LEXINGTON EQUITY PARTNERS II, LLC",17
LFB BIOTECHNOLOGIES S.A.S.U.,17
MANUFACTURERS AND TRADERS TRUST COMPANY (M&T),17
MAPLE BANK GMBH,17
"MERRILL LYNCH CREDIT PRODUCTS, LLC",17
"MIDCAP FUNDING III, LLC, AS AGENT",17
"MIDLANTIC NATIONAL BANK, 100 WALNUT AVE., CLARK, NJ 07066",17
"NANOGEN, INC.",17
"NATIONSBANK OF NORTH CAROLINA, N.A., AS AGENT",17
"NEVYAS EYE ASSOCIATES, PC 401K PROFIT SHARING PLAN F/B/O ACCOUNT OF H. NEVYAS",17
NITTO DENKO CORPORATION,17
"NORWEST MEZZANINE PARTNERS II, LP",17
"OXFORD FINANCE CORPORATION, AS ADMINISTRATIVE AGENT",17
"PANGAEA VENTURES FUND II, LP",17
PNC BANK - NATIONAL ASSOCIATION,17
"REDPOINT ASSOCIATES III, LLC",17
"REDPOINT VENTURES III, L.P.",17
"SABBY HEALTHCARE MASTER FUND, LTD.",17
"SABBY VOLATILITY WARRANT MASTER FUND, LTD.",17
"SUNNY OPTICS, INC.",17
TEXAS COMMERCE BANK NATIONAL ASSOICATION,17
"THE CIT GROUP/COMMERCIAL SERVICES, INC.",17
"VARI-LITE, INC.",17
"VENTURE LENDING & LEASING VIII, INC.",17
"WELLS FARGO BANK, N.A. (AS COLLATERAL AGENT)",17
"WILMINGTON TRUST, N.A., AS SECOND COLLATERAL AGENT",17
"YA GLOBAL INVESTMENTS, L.P. (F/K/A CORNELL CAPITAL PARTNERS, L.P.)",17
"ABN AMRO BANK, N.V., AS AGENT",16
ACQUISITION HOLDINGS SUBSIDIARY I LLC,16
"APEX INVESTMENT FUND II, L.P.",16
"ARES AGENT SERVICES, L.P., AS COLLATERAL AGENT",16
"ASSEMBLY & TEST WORLDWIDE, INC.",16
"BANK OF AMERICA, N. A., AS COLLATERAL AGENT",16
"BANK OF AMERICA, N.A., AS AGENT FORMERLY KNOWN AS NATIONSBANK, NATIONAL ASSOCIATION",16
BANKBOSTON,16
"BANKNORTH, N.A.",16
BARCLAYS BANK PLC (IN ITS CAPACITY AS SECURITY TRUSTEE FOR ITSELF AND OTHER SECURED PARTIES),16
"BARCLAYS BANK PLC, AS SECURITY AGENT",16
"BERGEN, FRANCIS X.",16
"BLUE OWL CAPITAL CORPORATION, AS COLLATERAL AGENT",16
BOATMEN'S FIRST NATIONAL BANK OF KANSAS CITY,16
"BRIDGE LOANS, LLC",16
"CA, INC.",16
"CARL ZEISS, INC., A NY CORP",16
"CB CORPORATE FINANCE, LLC, AS ADMINISTRATIVE AGENT",16
"CHENITZ, RICHARD",16
"CONNECTICUT BANK AND TRUST COMPANY, N.A., THE",16
"CONTINENTAL ILLINOIS NATIONAL BANK AND TRUST COMPANY, 231 SOUTH LASALLE ST., CHICAGO, IL., 60697",16
"CORE HOLDINGS B.V., (A DUTCH CORP.)",16
"COUNSEL, PATTI S. LIBERMAN G, COUN",16
"CREDIT LYONNAIS, NEW YORK BRANCH, AS AGENT",16
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH (AS COLLATERAL AGENT)",16
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS FIRST LIEN ADMINISTRATIVE AGENT",16
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS SECOND LIEN ADMINISTRATIVE AGENT",16
"DANIEL LANDRY, AS COLLATERAL AGENT",16
DEUTSCHE BANK NATIONAL TRUST,16
DEUTSCHE BANK TRUST COMPANY AMERICAS (AS INDENTURE TRUSTEE),16
DOMESTIC AGENT FOR RECEIVING PARTY IS: MEESPIERSON N.V.,16
"DYMAS FUNDING COMPANY, LLC, AS ADMIN. AGENT",16
"DYMAS FUNDING COMPANY, LLC, AS COLLATERAL AGENT",16
"ECPC CAPITAL II, LLC",16
"EVANS, CODY",16
EZCHIP SEMICONDUCTOR LTD.,16
"EZCHIP, INC.",16
"FCC, LLC, A FLORIDA LIMITED LIABILITY COMPANY DOING BUSINESS IN CALIFORNIA AS FIRST CAPITAL WESTERN REGION, LLC",16
"FFP HOLDINGS 2002, L.P.",16
"FIRST FIDELITY BANK, N.A., AS AGENT FOR THE BANKS",16
"FIRSTAR BANK, NATIONAL ASSOCATION",16
GANTRADE CORPORATION,16
"GOLDMAN SACHS BANK USA, AS FIRST LIEN COLLATERAL AGENT",16
GREYHOUND FINANCIAL CAPITAL CORPORATION,16
GREYHOUND FINANCIAL CORPORATION,16
"GUGGENHEIM CREDIT SERVICES, LLC, AS COLLATERAL AGENT",16
"HARBERT MEZZANINE PARTNERS II SBIC, L.P.",16
HARRIS N.A.,16
"HAUGEN, GREGG",16
"HAUGEN, ROLF",16
IOMEGA CORPORATION,16
"JPMORGAN CHASE BANK, NA, AS AGENT",16
"K-TRON TECHNOLOGIES, INC.",16
KREOS CAPITAL III LIMITED,16
LABORATORY CORPORATION OF AMERICA HOLDINGS,16
LAFAYETTE AMBASSADOR BANK,16
"LEU, JEFF",16
LLOYDS TSB BANK PLC (UNITED KINGDOM PUBLIC LIMITED COMPANY),16
MANCHESTER SECURITIES CORP.,16
"MARCOTTE, ADAM",16
MASSACHUSETTS MUTAL LIFE INSURANCE COMPANY,16
"MEYERS, DAVID",16
"MILESTONE PARTNERS III, L.P.",16
MMV FINANCE INC.,16
"MONICO, LARRY",16
"MONICO, SCOTT",16
NORDEA BANK FINLAND PLC,16
"NORTH ATLANTIC LIFE INSURANCE COMPANY OF AMERICA, THE",16
NORTHWESTERN NATIONAL LIFE INSURANCE COMPANY,16
"NORWEST BANK OF MINNESOTA, NATIONAL ASSOCIATION",16
NSPH FUNDING LLC,16
NTI HOLDING AS,16
"OBSIDIAN AGENCY SERVICES, INC., C/O TENNENBAUM CAPITAL PARTNERS, LLC",16
"PALM, INC.",16
"PERCEPTIVE CREDIT HOLDINGS, LP",16
"PRAETOR FUND I, A SUB-FUND OF PRAETORIUM FUND I ICAV",16
"PRESSURE HOLDINGS, LLC",16
"RAFFA, FREDERICK A.",16
"RAFFA, JEAN B.",16
"READ, ALEXANDER",16
ROYALTY FINANCIAL COMPANY LLC,16
ROYALTY SECURITIZATION TRUST I,16
"S.R. ONE, LIMITED",16
"SCHELL, JEFFREY",16
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",16
SIGNET BANK,16
"SMITH, CHUCK",16
"STANDARD FEDERAL BANK, AS COLLATERAL AGENT",16
"STATE STREET BANK AND TRUST CO. OF CT, N.A.",16
"STRIKER LENDING, LLC",16
SUN MACKIE LLC,16
SUPERCONDUCTOR TECHNOLOGIES INC.,16
"SVB INNOVATION CREDIT FUND VIII, L.P.",16
TALMER BANK AND TRUST,16
"TANG CAPITAL PARTNERS, LP, AS AGENT",16
"TREMOR VIDEO, INC.",16
"UNITED MISSOURI BANK, N.A., AS TRUSTEE",16
"VANTAGEPOINT VENTURE PARTNERS III, L.P.",16
"VANTAGEPOINT VENTURE PARTNERS IV PRINCIPALS FUND, L.P.",16
"VANTAGEPOINT VENTURE PARTNERS IV, L.P.",16
"VELOCITY FINANCIAL GROUP, INC.",16
"VENTURE LENDING & LEASING III, INC., AS AGENT",16
WACHOVIA BANK,16
"WADE, WILLIAM J. INDIVIDUAL TRUSTEE UNDER THE TRUST AGREEMENT",16
"WELLS FARGO BANK NATIONAL ASSOCIATION, AS AGENT",16
"WELLS FARGO FOOTHILL, INC., AS AGENT, A CALIFORNIA CORPORATION",16
WILMINGTON TRUST COMPANY A DE BANKING CORP. TRUSTEE UNDER THE TRUST AGREEMENT,16
"WILMINGTON TRUST, NATIONAL ASSOCIATION, AS SECOND LIEN COLLATERAL AGENT",16
AFFILIATED BUSINESS CREDIT CORPORATION,15
AMERICAN NATIONAL BANK & TRUST COMPANY OF CHICAGO,15
AMI SILBERMAN/KARIN JOHNSGARD,15
"ANKURA TRUST COMPANY, LLC, AS COLLATERAL TRUSTEE",15
"ARDINGER FAMILY PARTNERSHIP, LTD.",15
"ARISAWA MANUFACTURING CO., LTD.",15
ASSET PROFITS LIMITED,15
BANK OF AMERICA NATIONAL TRUST AND SAVINGS,15
BANK OF BOSTON CONNECTICUT,15
BANK OF SCOTLAND,15
"BANKBOSTON, N.A., A NATIONAL BANK",15
"BANQUE PARIBAS, AS ADMINISTRATIVE AGENT",15
"BERG & BERG ENTERPRISES, LLC",15
BFI BUSINESS FINANCE DBA CAPITALSOURCE BUSINESS FINANCE GROUP,15
"BMO PRIVATE EQUITY (U.S.), INC.",15
"BRADLEY PHARMACEUTICALS, INC.",15
BRADLEY RESOURCES COMPANY,15
BRETT A. MOYER,15
"CENTRAL TRUST COMPANY, N.A., THE",15
"CHASE MANHATAN BANK, AS ADMINISTRATIVE AGENT, THE",15
"CHASE MANHATTAN BANK, N.A., THE A DE CORP.",15
"CHEMICAL BANK, AGENT",15
"CONGRESS FINANCIAL CORPORATION, A CORP. OF CA.",15
"COWEN HEALTHCARE ROYALTY PARTNERS, L.P.",15
CRANSHIRE CAPITAL LP,15
CREDIT SUISSE FIRST BOSTON TORONTO BRANCH,15
"CRESCENT AGENCY SERVICES, LLC",15
ELVIN JAVIER,15
EMPIRE OF AMERICA FSA,15
"EMPIRE OF AMERICA FSA,",15
"ETEC SYSTEMS, INC.",15
EVELYN K. KOSSAK,15
GARY SILVERMAN,15
"GE BUSINESS FINANCIAL SERVICES INC., F/K/A MERRILL LYNCH BUSINESS FINANCIAL SERVICES INC., AS A LENDER",15
GENERAL ELECTRIC CAPITAL CORPORATION (AS ADMINISTRATIVE AGENT),15
"GENERAL ELECTRIC CAPITAL CORPORATION, AS FIRST LIEN COLLATERAL AGENT",15
GERALD M. LUKASIK,15
GLENFED CAPITAL CORP.,15
GLENFED FINANCIAL CORPORATION A CORP OF CA.,15
"GOLDMAN SACHS LENDING PARTNERS LLC, AS AGENT",15
"GOLDMAN SACHS LENDING PARTNERS, LLC",15
"HALIFAX FUND, L.P. AS COLLATERAL AGENT",15
"HELLER FINANCIAL, INC., AS COLLATERAL AGENT",15
"HILL, J. DONALD",15
"HOOPP PSG INC., AS COLLATERAL AGENT",15
HSBC INVESTMENT BANK PLC,15
JACKSON NAT'L LIFE INSURANCE COMPANY,15
JAMES MAGOS,15
"JEFFERIES BABSON FINANCE LLC, AS ADMINISTRATIVE AGENT",15
"JOSEPH J. GAYNOR, JR.",15
JUDITH GLASER,15
KREOS CAPITAL V (UK) LIMITED,15
LANZA TECHVENTURE AS COLLETERAL AGENT,15
LB I GROUP INC.,15
LOUIS LEEBURG,15
MADELEINE L.L.C. (NEW YORK LIMITED LIABILITY COMPANY),15
MARK GRINBAUM,15
MASSACHUSETTS CAPITAL RESOURCE COMPANY,15
MCG FINANCE CORPORATION,15
"MELLON BANK, N.A. AS AGENT FOR THE BANKS",15
"MELLON BANK, N.A. AS AGENTS FOR THE BANKS.",15
"MERIDIAN BANK, A PA BANKING CORP.",15
MERRILL LYNCH BUSINESS FINANCIAL SERVICES INC.,15
MIDDLESEX SAVINGS BANK,15
"MNC CREDIT CORP., 502 WASHINGTON AVE., STE. 700, TOWSON, MD",15
MOE HOUDIAGUI,15
"MONROE CAPITAL MANAGEMENT ADVISORS, LLC",15
"MORGAN GUARANTY TRUST COMPANY OF NEW YORK, AS ADMINISTRATIVE AGENT",15
"MWV PINNACLE CAPTIAL FUND, L.P.",15
NATIONAL CITY BANK (A NATIONAL BANKING ASSOCIATION),15
NATIONAL CITY BANK OF PENNSYLVANIA SUCCESSOR IN INTEREST TO INTEGRA BANK,15
NOEL D. ISCHY,15
"NUVELO, INC.",15
"PARADISE IV, INV.",15
"PARAMOUNT CAPITAL, INC.",15
"PLYMOUTH DEWITT, INC.",15
RICHARD H. STRAETER,15
ROBERT RIPP,15
ROVI SOLUTIONS CORPORATION,15
RUNWAY GROWTH CREDIT FUND INC.,15
SANWA BUSINESS CREDIT CORPORATION,15
"SCHLUMBERGER RESOURCE MANAGEMENT SERVICES, INC.",15
SHADOW CAPITAL LLC,15
"SILICON VALLEY BANK, AS AGENT AND AS A LENDER",15
"SILICON VALLEY BANK, AS SERVICING AGENT",15
SIMTEK CORPORATION,15
"SMH HOLDCO, LLC",15
"SOCIETE GENERALE, AS AGENT",15
SOLECTRON CORPORATION,15
SOLUTIA AUSTRIA GMBH,15
SPEROS DEDES,15
"STERLING JA, L.C.",15
STEVEN R. J. CYNTHIA H. BRUECK REVOCABLE TRUST UTA DATED 3/14/1991,15
"TANG CAPITAL PARTNERS, L.P.",15
"TELEDYNE INDUSTRIES, INC., A CORPORATION OF CALIFORNIA",15
TERRY BRENNEMAN,15
THE BART MARCY TRUST,15
THOMAS F. O'NEILL,15
"VENTURE BANKING GROUP, A DIVISION OF CUPERTINO A NATIONAL BANK & TRUST",15
WACHOVIA CAPITAL FINANCE CORPORATION,15
"WELLS FARGO FOOTHILL, LLC, AS ADMINISTRATIVE AGENT",15
"WHITE OAK HEALTHCARE FINANCE, LLC, AS ADMINISTRATIVE AGENT",15
"ABACUS FINANCE GROUP, LLC",14
ABLECO FINANCE LLC AS AGENT,14
"ADVANCED LIGHTING TECHNOLOGIES, INC.",14
"ARK CLO 2000-1, LIMITED",14
BANCAMERICA COMMERCIAL CORPORATION,14
BANCBOSTON INVESTMENTS INC.,14
"BANK ONE, TEXAS, N.A.",14
"BANKERS TRUST COMPANY, A NY BANKING CORP.",14
BAY CITY CAPITAL LLC,14
BNY ASSET SOLUTIONS LLC,14
"BORGWARNER INC., AS ADMINISTRATIVE AGENT",14
"BRADLEY RESOURCES COMPANY, A NEW YORK GENERAL PARTNERSHIP",14
BRISBEN WATER SOLOUTIONS LLC,14
BROWN RUDNICK LLP,14
CALLIDUS CAPITAL CORPORATION,14
"CANAAN VII L.P., AS ADMINISTRATIVE AGENT",14
"CAPITAL CONTROLS, CO., INC.",14
CHEMICAL BANK (AS COLLATERAL AGENT),14
"CHURCHILL CAPITAL PARTNERS III, L.P.",14
"CIT GROUP/COMMERCIAL SERVICES INC., THE",14
COLGATE-PALMOLIVE COMPANY,14
"CONGRESS FINANCIAL CORPORATION, 1133 AVENUE OF THE AMERICAS, NEW YORK, NY 10036, A CORP. OF CA",14
CONNECTICUT NATIONAL BANK,14
"CREDIT LYONNAIS NEW YORK BRANCH, AS AGENT FOR THE BENEFIT OF CERTAIN LENDERS AND BANKS",14
CROCKER NATIONAL BANK,14
DOUGLAS ACQUISITIONS LLC,14
"DOW CHEMICAL COMPANY, THE",14
DRESDNER BANK AKTIENGESELLSCHAFT IN FRANKFURT AM MAIN,14
ECLIPSE BUSINESS CAPITAL LLC,14
ENCORE MEDICAL CORPORATION,14
"EVENING POST GROUP, LLC",14
"FAMILY BANK, FSB",14
"FIFTH STREET FINANCE CORP., AS COLLATERAL AGENT",14
FIRST BOSTON SECURITIES CORPORATION,14
"FIRST INTERSTATE BANK OF OKLAHOMA, N.A.",14
"FIRST NATIONAL BANK OF BOSTON THE, (FNBB)",14
GENERAL ELECTRIC CAPITAL CORPORATION AS ADMINISTRATIVE AGENT,14
GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT FOR LENDERS,14
"GENERAL ELECTRIC CAPITAL CORPORATION, AS REVOLVING COLLATERAL AGENT FOR THE REVOLVING LENDERS AND AS TERM LOAN COLLATERAL AGENT",14
"GENRAD, INC., A MA CORP.",14
HSBC BANK PLC,14
IGNITE ORTHOPEDICS,14
ING BANK N.V.,14
ISOLA USA CORP.,14
"IV-IP, LLC",14
"LANZA TECHVENTURE, COLLATERAL AGENT",14
MACQUIRE CAPITAL FUNDING LLC,14
MARQUETTE CAPITAL BANK,14
"MERRILL LYNCH PCG, INC.",14
MICROSOFT CORPORATION,14
"MIZUHO CORPORATE BANK, LTD.",14
"MORGAN, HOWARD",14
NIKON VENTURES CORPORATION,14
"PANOLAM INDUSTRIES INTERNATIONAL, INC.",14
"RBS BUSINESS CAPITAL, A DIVISION OF RBS ASSET FINANCE, INC., AS AGENT",14
"REGIONS BANK, AS COLLATERAL AGENT",14
"RKB HYDROTECH PROFESSIONAL, LLC",14
"ROYAL BANK OF SCOTLAND PLC, FRANKFURT BRANCH, AS ADMINISTRATIVE AGENT, THE",14
"SECURITY PACIFIC NATIONAL BANK, AS AGENT",14
SILICON GRAPHICS INC,14
SITO MOBILE LTD.,14
"STANDARD CHARTERED BANK, A BODY CORP. OF ENGLAND",14
"STANDARD CHARTERED BANK, AS ADMINISTRATIVE AGENT",14
"SUN, RICHARD A.",14
TALISMAN CAPITAL TALON FUND LTD.,14
TAR SITO LENDCO LLC,14
THE FROST NATIONAL BANK,14
"THE KLONOFF COMPANY, INC.",14
"THE PRUDENTIAL INSURANCE COMPANY OF AMERICA, AS COLLATERAL AGENT",14
"THE RENCO GROUP, INC.",14
TPG-AXON ROYALTY TRUST,14
TRANSAMERICA BUSINESS CAPITAL CORPORATION,14
"TRANSAMERICA BUSINESS CAPITAL CORPORATION, AS AGENT",14
"TRUST COMPANY OF NEW YORK, UNITED STATES",14
"TWIN BROOK CAPITAL PARTNERS, LLC, AS ADMINISTRATIVE AGENT",14
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE AND COLLATERAL AGENT",14
"U.S. NATIONAL ASSOCIATION, AS ADMINISTRATIVE AGENT",14
"UGS AG, STAMFORD BRANCH, AS COLLATERAL AGENT",14
VERICHIP CORPORATION,14
WESRAY CAPITAL CORPORATION,14
3I CORPORATION,13
"3I, L.P.",13
"ABN AMRO BANK, N.V. AS AGENT",13
"ALLIANCE FUND II ONEROOF LENDER, LLC",13
ALLSTATE INSURANCE COMPANY,13
"AMERICAN CAPITAL STRATEGIES, LTD.",13
"BANK OF AMERICA ILLINOIS, AS AGENT",13
"BANK OF AMERICA TEXAS, N.A.",13
"BANK OF AMERICA, N.A., AS AGENT FOR THE LENDERS",13
"BANK OF AMERICA, N.A., AS THE COLLATERAL AGENT",13
"BANK ONE, INDIANAPOLIS, NA",13
"BELL, CHRISTY W., ( BELL )",13
"BRADLEY RESOURCES COMPANY (""BRADLEY""), A NEW YORK GENERAL PARTNERSHIP",13
"CITICORP INDUSTRIAL CREDIT, INC.,",13
"CITICORP NORTH AMERICA, INC., AS COLLATERAL AGENT FOR THE SECURED CREDITORS UNDER THE TERM CREDIT AGREEMENT",13
"CONNECTICUT BANK AND TRUST COMPANY, THE",13
CONTINENTAL STOCK TRANSFER AND TRUST COMPANY,13
"CORNELL CAPITAL PARTNERS, L.P.",13
"CORTLAND PRODUCTS CORP., AS SUCCESSOR AGENT",13
CREDIT SUISSE MANAGEMENT LLC,13
CRG SERVICING LLC,13
CURRENT VENTURES II LIMITED,13
DELAWARE TRUST COMPANY,13
"DEUTSCHE BANK TRUST COMPANY AMERICAS, (F/K/A BANKERS TRUST COMPANY), AS AGENT",13
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS TERM COLLATERAL AGENT",13
ECP II INTERFUND L.P.,13
ENERTECH CAPITAL PARTNERS II L.P.,13
"EPSTEIN, ROBERT",13
"FIRST NATIONAL BANK OF BOSTON, THE (AS AGENT)",13
"FIRSTAR BANK MISSOURI, N.A.",13
"FLEET NATIONAL BANK, AS AGENT FOR ITSELF AND THE OTHER LENDERS",13
FLEET PRECIOUS METALS INC.,13
GENERAL ELECTRIC CAPITAL CORP.,13
"GILO VENTURES IL, L.P.",13
GLENN PATENT GROUP,13
"GLENN, PAUL F., ( GLENN )",13
"GLOBAL EQUITY FUNDING, LLC",13
HOMEFED BANK,13
"J. HENRY SCHRODER BANK & TRUST COMPANY, A NEW YORK BANKING INSTITUTION AS TRUSTEE",13
"JEFFERIES FINANCE LLC, AS FIRST LIEN COLLATERAL AGENT",13
"JEFFERIES FINANCE LLC, AS SECOND LIEN COLLATERAL AGENT",13
"JOHN EVANS, AS SELLER REPRESENTATIVE",13
"JP MORGAN CHASE BANK, AS ADMINISTRATIVE AGENT",13
KREOS CAPITAL VI (EXPERT FUND) L.P.,13
"LASALLE BUSINES CREDIT, LLC",13
"M&F TTP HOLDINGS LLC, AS COLLATERAL AGENT",13
MADELEINE L.L.C.,13
MORGAN GUARANTY TRUST COMPANY AS COLLATERAL AGENT FOR BENEFIT OF THE SECURED PARTIES (INCLUDING THE FAMILY PARTICIPATING LENDERS),13
"MORGAN GUARANTY TRUST COMPANY OF NEW YORK, AS ADMINISTRATIVE AGENT AND COLLATERAL AGENT",13
NATIONAL CITY BANK OF COLUMBUS,13
"NATIONAL CITY BANK, KENTUCKY",13
NEWALLIANCE BANK,13
"OAKTREE FUND ADMINISTRATION, LLC, AS ADMINISTRATIVE AGENT",13
"PAUL ROYALTY FUND, L.P.",13
"PHRONESIS PARTNERS, L.P.",13
PRICEWATERHOUSECOOPERS LLP,13
"REGIONS BANK, AS ADMINISTRATIVE AGENT",13
"ROBERTS, KENNEY",13
ROCHE FINANCE LTD,13
SCHERING AKTIENGESELLSCHAFT,13
SEATTLE-FIRST NATIONAL BANK,13
"SECURITY PACIFIC NATIONAL BANK, A NATIONAL BANKING ASSOCIATION",13
SEQUEL EURO LIMITED PARTNERSHIP,13
SEQUEL LIMITED PARTNERSHIP I,13
"SIEVERS, GEORGE R., AS INDIVIDUAL TRUSTEE",13
SOCKET MOBILE INC.,13
"SOUTHSTATE BANK, N.A.",13
"SQN VENTURE INCOME FUND II, LP",13
TACAN CORPORATION,13
TCO FUNDING CORP.,13
"TEXAS COMMERCE BANK, NATIONAL ASSOCIATION",13
"TI VENTURES III, L.P.",13
"UBS AG, STAMFORD BRANCH, AS ADMINISTRATIVE AGENT",13
"UBS AG, STAMFORD BRANCH, AS US COLLATERAL AGENT",13
"ULTRATECH STEPPER EAST, INC.",13
"VANASKY, DAVID A.",13
"VENTURE LENDING, A DIVISION OF CUPERTINO NATIONAL BANK & TRUST",13
"VICTORY PARK MANAGEMENT, LLC, AS COLLATERAL AGENT",13
WEXFORD MANAGEMENT LLC,13
"WHITEHORSE CAPITAL MANAGEMENT, LLC",13
XYRATEX TECHNOLOGY LIMITED,13
"ADVANCED TECHNICAL PRODUCTS, INC.",12
ALLEN FAMILY TRUST DATED 10/12/81,12
"AMB GROUP, LLC",12
"APPLIED PHOTONIC DEVICES, INC.",12
"AYER CAPITAL PARTNERS KESTREL FUND, L.P.",12
"AYER CAPITAL PARTNERS MASTER FUND, L.P.",12
"B.F. GOODRICH COMPANY, THE",12
"BANK OF AMERICA, N.A., AS SECURITY AGENT",12
"BANK OF MONTREAL, AS THE SUCCESSOR COLLATERAL AGENT",12
"BANK ONE, KENTUCKY, NA",12
"BANKERS TRUST COMPANY, COLLATERAL AGENT",12
"BARINGS FINANCE LLC, AS ADMINISTRATIVE AGENT",12
"BAXTER INTERNATIONAL, INC.",12
BEAUTYGE I,12
"BIOLEX THERAPEUTICS, INC.",12
BNP,12
"BSP AGENCY, LLC",12
"CARR, KENNETH L.",12
"CENTURA BANK, INC.",12
"CEPHALON, INC.",12
"CHASE MANHATTAN BANK, N.A., THE, AS AGENT FOR THE BANKS",12
"CIT GROUP,THE/CREDIT FINANCE, INC",12
"CITIZENS BANK, N.A. AS ADMINISTRATIVE AGENT",12
"COMMERZBANK AKTIENGESELLSCHAFT, FILIALE LUXEMBURG",12
"CONGRESS FINANCIAL CORPORATION, A CA CORP.",12
"COOPERATIEVE CENTRALE RAIFFEISEN-BOERENLEENBANK B.A., ""RABOBANK NEDERLAND"", NEW YORK BRANCH",12
"CRAGG, ANDREW H.",12
"CREDIT SUISSE FIST BOSTON, AS ADMINISTRATIVE AGENT",12
"CREDIT SUISSE, CAYMAN ISLANDS BRANCH, AS FIRST LIEN COLLATERAL AGENT",12
