original_name,frequency,normalized_name
COOPER-STANDARD AUTOMOTIVE INC.,161,COOPER-STANDARD AUTOMOTIVE INC
"NEXTEL COMMUNICATIONS, INC.",161,NEXTEL COMMUNICATIONS INC
"NOVA WILDCAT DRAPERY HARDWARE, LLC",161,NOVA WILDCAT DRAPERY HARDWARE LLC
ACLARA TECHNOLOGIES LLC,160,ACLARA TECHNOLOGIES LLC
"APOLLO ENDOSURGERY, INC.",160,APOLLO ENDOSURGERY INC
HADCO SANTA CLARA,160,HADCO SANTA CLARA
NEWPAGE CORPORATION,160,NEWPAGE CORP
PICTURETEL CORPORATION,160,PICTURETEL CORP
SANMINA CORPORATION,160,SANMINA CORP
SCI TECHNOLOGY,160,SCI TECHNOLOGY
"SENSORWISE, INC.",160,SENSORWISE INC
TAPCO INTERNATIONAL CORPORATION,160,TAPCO INTERNATIONAL CORP
FAIRCHILD HOLDING CORP.,159,FAIRCHILD HOLDING CORP
"GLOBAL ADVANCED METALS USA, INC.",159,GLOBAL ADVANCED METALS USA INC
"MIMEDX GROUP, INC.",159,MIMEDX GROUP INC
"TANNING RESEARCH LABORATORIES, INC",159,TANNING RESEARCH LABORATORIES INC
WALBRO CORPORATION,159,WALBRO CORP
"CONFORMIS, INC.",158,CONFORMIS INC
"BABCOCK & WILCOX ENTERPRISES, INC.",157,BABCOCK & WILCOX ENTERPRISES INC
"BABCOCK & WILCOX TECHNOLOGY, LLC",157,BABCOCK & WILCOX TECHNOLOGY LLC
"BABCOCK & WILCOX UNIVERSAL, INC.",157,BABCOCK & WILCOX UNIVERSAL INC
"DIAMOND POWER INTERNATIONAL, LLC",157,DIAMOND POWER INTERNATIONAL LLC
TOTAL LUBRICATION MANAGEMENT COMPANY,157,TOTAL LUBRICATION MANAGEMENT CO
"ASPECT SOFTWARE PARENT, INC.",156,ASPECT SOFTWARE PARENT INC
D-M-E COMPANY,156,D-M-E CO
DAVOX INTERNATIONAL HOLDINGS LLC,156,DAVOX INTERNATIONAL HOLDINGS LLC
"EAGLEPICHER TECHNOLOGIES, LLC",156,EAGLEPICHER TECHNOLOGIES LLC
KEMET BLUE POWDER CORPORATION,156,KEMET BLUE POWDER CORP
"KEMET CORPORATION,",156,KEMET CORP
"MATRIA HEALTHCARE, INC.",156,MATRIA HEALTHCARE INC
"T-NETIX, INC.",156,T-NETIX INC
VOICEOBJECTS HOLDINGS INC.,156,VOICEOBJECTS HOLDINGS INC
"VOXEO PLAZA TEN, LLC",156,VOXEO PLAZA TEN LLC
NAVISTAR INTERNATIONAL CORPORATION,155,NAVISTAR INTERNATIONAL CORP
"POWERWAVE TECHNOLOGIES, INC.",155,POWERWAVE TECHNOLOGIES INC
"TII INDUSTRIES, INC.",155,TII INDUSTRIES INC
"WARNER ELECTRIC HOLDING, INC.",155,WARNER ELECTRIC HOLDING INC
AMPHENOL CORPORATION,153,AMPHENOL CORP
"BLADELOGIC, INC.",153,BLADELOGIC INC
BMC ACQUISITION L.L.C.,153,BMC ACQUISITION LLC
"BMC SOFTWARE, INC.",153,BMC SOFTWARE INC
"DYNAMIC MEDICAL SYSTEMS, LLC",153,DYNAMIC MEDICAL SYSTEMS LLC
"INVACARE CANADIAN FINANCE, LLC",153,INVACARE CANADIAN FINANCE LLC
"INVACARE CANDIAN HOLDINGS, INC.",153,INVACARE CANDIAN HOLDINGS INC
INVACARE OUTCOMES MANAGEMENT LLC,153,INVACARE OUTCOMES MANAGEMENT LLC
IRVINE SENSORS CORPORATION,153,IRVINE SENSORS CORP
MILACRON LLC,153,MILACRON LLC
"SPIRIT AEROSYSTEMS HOLDINGS, INC.",153,SPIRIT AEROSYSTEMS HOLDINGS INC
"SPIRIT AEROSYSTEMS NORTH CAROLINA, INC.",153,SPIRIT AEROSYSTEMS NORTH CAROLINA INC
"TI GROUP AUTOMOTIVE SYSTEMS, L.L.C.",153,TI GROUP AUTOMOTIVE SYSTEMS LLC
VERENIUM CORPORATION,153,VERENIUM CORP
"MISONIX OPCO, INC.",152,MISONIX OPCO INC
"TECHNIMOTION, LLC",152,TECHNIMOTION LLC
"APPLIED OPTOELECTRONICS, INC.",151,APPLIED OPTOELECTRONICS INC
CHRYSLER CORPORATION,151,CHRYSLER CORP
"CLARUS FLUID INTELLIGENCE, LLC",151,CLARUS FLUID INTELLIGENCE LLC
ICONEX LLC (AS SUCCESSOR IN INTEREST TO NCR CORPORATION),151,ICONEX LLC AS SUCCESSOR IN INTEREST TO NCR CORP
"MEDICAL DEVICE TECHNOLOGIES, INC.",151,MEDICAL DEVICE TECHNOLOGIES INC
QUEST SOFTWARE INC. (F/K/A DELL SOFTWARE INC.),151,QUEST SOFTWARE INC F K A DELL SOFTWARE INC
ALCOTEC WIRE CORPORATION,150,ALCOTEC WIRE CORP
ALLOY RODS GLOBAL INC.,150,ALLOY RODS GLOBAL INC
ANDERSON GROUP INC.,150,ANDERSON GROUP INC
"DISTRIBUTION MINING & EQUIPMENT COMPANY, LLC",150,DISTRIBUTION MINING & EQUIPMENT CO LLC
EMSA HOLDINGS INC.,150,EMSA HOLDINGS INC
ESAB AB,150,ESAB AB
GREATBATCH INC.,150,GREATBATCH INC
HEXION INC.,150,HEXION INC
HOWDEN AMERICAN FAN COMPANY,150,HOWDENAMERICAN FAN CO
"HOWDEN COMPRESSORS, INC.",150,HOWDEN COMPRESSORS INC
HOWDEN GROUP LIMITED,150,HOWDEN GROUP LTD
HOWDEN NORTH AMERICA INC.,150,HOWDEN NORTH AMERICA INC
QIG GROUP LLC,150,QIG GROUP LLC
SHAWEBONE HOLDINGS INC.,150,SHAWEBONE HOLDINGS INC
THE ESAB GROUP INC.,150,ESAB GROUP INC
"VICTOR TECHNOLOGIES INTERNATIONAL, INC.",150,VICTOR TECHNOLOGIES INTERNATIONAL INC
COSMIC PET BRANDS LLC (F/K/A HYPER PET BRANDS LLC),148,COSMIC PET BRANDS LLC F K A HYPER PET BRANDS LLC
COSMIC PET LLC (F/K/A HYPER PET LLC),148,COSMIC PET LLC F K A HYPER PET LLC
GRAC HOLDINGS LLC,148,GRAC HOLDINGS LLC
"ISCHEMIA TECHNOLOGIES, INC.",148,ISCHEMIA TECHNOLOGIES INC
OURPET'S COMPANY,148,OURPET S CO
"PAWS MERGER PARENT, LLC",148,PAWS MERGER PARENT LLC
PET FUSION LLC,148,PET FUSION LLC
"SMP COMPANY, INCORPORATED",148,SMP CO INC
VIRTU COMPANY,148,VIRTU CO
WAYNE FUELING SYSTEMS LLC,148,WAYNE FUELING SYSTEMS LLC
DIGI INTERNATIONAL INC.,147,DIGI INTERNATIONAL INC
"ESSEX TECHNOLOGY, INC.",147,ESSEX TECHNOLOGY INC
"ICONEX LLC (AS SUCCESSOR IN INTEREST TO NCR CORPORATION AND NCR INTERNATIONAL, INC.)",147,ICONEX LLC AS SUCCESSOR IN INTEREST TO NCR CORPORATIONAND NCR INTERNATIONAL INC
"COMSCORE, INC.",146,COMSCORE INC
"GENIE INDUSTRIES, INC.",146,GENIE INDUSTRIES INC
"GEVO, INC.",146,GEVO INC
"K2M, INC.",146,K2M INC
"TEREX ADVANCE MIXER, INC.",146,TEREX ADVANCE MIXER INC
"IMO INDUSTRIES, INC.",145,IMO INDUSTRIES INC
"SENVID, INC.",145,SENVID INC
ADVANTAGE DIAGNOSTICS CORPORATION,144,ADVANTAGE DIAGNOSTICS CORP
"ALERE MEDICAL, INC.",144,ALERE MEDICAL INC
"ALERE SAN DIEGO, INC.",144,ALERE SAN DIEGO INC
"ALERE SCARBOROUGH, INC.",144,ALERE SCARBOROUGH INC
AMEDITECH INC.,144,AMEDITECH INC
"APPLIED BIOTECH, INC.",144,APPLIED BIOTECH INC
"BINAX, INC.",144,BINAX INC
BIOSITE INCORPORATED,144,BIOSITE INC
CHOLESTECH CORPORATION,144,CHOLESTECH CORP
"GENECARE MEDICAL GENETICS CENTER, INC.",144,GENECARE MEDICAL GENETICS CENTER INC
"HEMOSENSE, INC.",144,HEMOSENSE INC
"INSTANT TECHNOLOGIES, INC.",144,INSTANT TECHNOLOGIES INC
INVERNESS MEDICAL - BIOSTAR INC.,144,INVERNESS MEDICAL - BIOSTAR INC
"KCI HOLDING COMPANY, INC.",144,KCI HOLDING CO INC
"KCI INTERNATIONAL, INC.",144,KCI INTERNATIONAL INC
MALLINCKRODT LLC,144,MALLINCKRODT LLC
"MATRITECH, INC.",144,MATRITECH INC
"ROKU DX HOLDINGS, INC.",144,ROKU DX HOLDINGS INC
SPECGX LLC,144,SPECGX LLC
STRATATECH CORPORATION,144,STRATATECH CORP
"ZYCARE, INC.",144,ZYCARE INC
"BOLLE AMERICA, INC.",143,BOLLE AMERICA INC
"DEG ACQUISITIONS, LLC",143,DEG ACQUISITIONS LLC
DME COMPANY LLC,143,DME CO LLC
"OLD WSR, INC.",143,OLD WSR INC
OMNOVA SOLUTIONS INC.,143,OMNOVA SOLUTIONS INC
"SERENGETI EYEWEAR, INC.",143,SERENGETI EYEWEAR INC
TASCO OPTICS CORPORATION,143,TASCO OPTICS CORP
"CEDARBURG PHARMACEUTICALS, INC.",142,CEDARBURG PHARMACEUTICALS INC
EUTICALS INC.,142,EUTICALS INC
"LEIDOS, INC.",142,LEIDOS INC
LOJACK CORPORATION,142,LOJACK CORP
"OSO BIOPHARMACEUTICALS MANUFACTURING, LLC",142,OSO BIOPHARMACEUTICALS MANUFACTURING LLC
VERINT VIDEO SOLUTIONS INC.,142,VERINT VIDEO SOLUTIONS INC
ACUSHNET COMPANY,141,ACUSHNET CO
AFI LICENSING LLC,141,AFI LICENSING LLC
"DRESSER CHINA, INC.",141,DRESSER CHINA INC
LVF HOLDING CORPORATION,141,LVF HOLDING CORP
RING-O VALVE INCORPORATED,141,RING-O VALVE INC
ROGERS CORPORATION,141,ROGERS CORP
"ROVI PRODUCT CORPORATION (AS SUCCESSOR-IN-INTEREST TO ROVI GUIDES, INC.)",141,ROVI PRODUCT CORP AS SUCCESSOR-IN-INTEREST TO ROVI GUIDES INC
"AVINTIV SPECIALTY MATERIALS, INC. (F/K/A POLYMER GROUP, INC.)",140,AVINTIV SPECIALTY MATERIALS INC F K A POLYMER GROUP INC
"BABCOCK & WILCOX SPIG, INC.",140,BABCOCK & WILCOX SPIG INC
"BABCOCK & WILCOX TECHNOLOGY, LLC (F/K/A MCDERMOTT TECHNOLOGY, INC.)",140,BABCOCK & WILCOX TECHNOLOGY LLC F K A MCDERMOTT TECHNOLOGY INC
"DIAMOND POWER INTERNATIONAL, LLC (F/K/A DIAMOND POWER INTERNATIONAL, INC.)",140,DIAMOND POWER INTERNATIONAL LLC F K A DIAMOND POWER INTERNATIONAL INC
"ENTRUST HOLDINGS, INC.",140,ENTRUST HOLDINGS INC
"ENTRUST, INC.",140,ENTRUST INC
GCP APPLIED TECHNOLOGIES INC.,140,GCP APPLIED TECHNOLOGIES INC
"ORION SECURITY SOLUTIONS, INC.",140,ORION SECURITY SOLUTIONS INC
SOFCO-EFS HOLDINGS LLC,140,SOFCO-EFS HOLDINGS LLC
"THE BABCOCK & WILCOX COMPANY (F/K/A BABCOCK & WILCOX POWER GENERATION GROUP, INC.)",140,BABCOCK & WILCOX CO F K A BABCOCK & WILCOX POWER GENERATION GROUP INC
AMERICAN PRECISION INDUSTRIES INC.,139,AMERICAN PRECISION INDUSTRIES INC
"APPAREL FABRICS PROPERTIES, INC.",139,APPAREL FABRICS PROPERTIES INC
"BALL SCREW & ACTUATORS CO., INC.",139,BALL SCREW & ACTUATORS CO INC
"BURLINGTON INDUSTRIES V, LLC",139,BURLINGTON INDUSTRIES V LLC
BURLINGTON WORLDWIDE INC.,139,BURLINGTON WORLDWIDE INC
CONE ACQUISITION LLC,139,CONE ACQUISITION LLC
CONE ADMINISTRATIVE AND SALES LLC,139,CONE ADMINISTRATIVE & SALES LLC
CONE DENIM WHITE OAK LLC,139,CONE DENIM WHITE OAK LLC
"CONE INTERNATIONAL HOLDINGS II, LLC",139,CONE INTERNATIONAL HOLDINGS II LLC
"CONE INTERNATIONAL HOLDINGS, LLC",139,CONE INTERNATIONAL HOLDINGS LLC
INTERNATIONAL TEXTILE GROUP ACQUISITION GROUP LLC,139,INTERNATIONAL TEXTILE GROUP ACQUISITION GROUP LLC
"TASCO HOLDINGS, INC.",139,TASCO HOLDINGS INC
THOMAS LINEAR LLC,139,THOMAS LINEAR LLC
"VALENTEC WELLS, LLC",139,VALENTEC WELLS LLC
"WLR CONE MILLS IP, INC.",139,WLR CONE MILLS IP INC
ELCO FASTENING SYSTEMS LLC,138,ELCO FASTENING SYSTEMS LLC
IMCOR PHARMACEUTICAL CO.,138,IMCOR PHARMACEUTICAL CO
"INTERNATIONAL STEEL GROUP, INC.",138,INTERNATIONAL STEEL GROUP INC
KRATON POLYMERS LLC,138,KRATON POLYMERS LLC
"WOLVERINE METAL SPECIALTIES, INC.",138,WOLVERINE METAL SPECIALTIES INC
"BOLLE, INC.",137,BOLLE INC
"BUSHNELL GROUP HOLDINGS, INC.",137,BUSHNELL GROUP HOLDINGS INC
"HUMAN CAPITAL RESOURCES, INC., A DELAWARE CORPORATION, AS GRANTOR",137,HUMAN CAPITAL RESOURCES INC A DELAWARE CORP AS GRANTOR
HUNTSMAN SPECIALTY CHEMICALS CORPORATION,137,HUNTSMAN SPECIALTY CHEMICALS CORP
"INSTITIT KATALIZA IMENI G.K. BORESKOVA SIBIRSKOGO OTDELENIA ROSSIISKOI AKADEMII NAUK, AS GRANTOR",137,INSTITIT KATALIZA IMENI G K BORESKOVA SIBIRSKOGO OTDELENIA ROSSIISKOI AKADEMII NAUK AS GRANTOR
"MANAN MEDICAL PRODUCTS, INC.",137,MANAN MEDICAL PRODUCTS INC
"MITSUBISH DENKI KABUSHIKI KAISHA, AS GRANTOR",137,MITSUBISH DENKI KABUSHIKI KAISHA AS GRANTOR
"NOKIA CORPORATION, AS GRANTOR",137,NOKIA CORP AS GRANTOR
"NORTHROP GRUMMAN CORPORATION, A DELAWARE CORPORATION, AS GRANTOR",137,NORTHROP GRUMMAN CORP A DELAWARE CORP AS GRANTOR
"PRIMELINE GAMING TECHNOLOGIES, INC.",137,PRIMELINE GAMING TECHNOLOGIES INC
"STRYKER LEIBINGER GMBH & CO., KG, AS GRANTOR",137,STRYKER LEIBINGER GMBH & CO KG AS GRANTOR
"VIKING MERGER SUBSIDIARY, LLC",137,VIKING MERGER SUBSIDIARY LLC
WESTFALIA-AUTOMOTIVE GMBH,137,WESTFALIA-AUTOMOTIVE GMBH
"COMARCO WIRELESS TECHNOLOGIES, INC.",136,COMARCO WIRELESS TECHNOLOGIES INC
"DANA AUTOMOTIVE AFTERMARKET, INC.",136,DANA AUTOMOTIVE AFTERMARKET INC
"DANA COMMERCIAL VEHICLE MANUFACTURING, LLC",136,DANA COMMERCIAL VEHICLE MANUFACTURING LLC
"DANA COMMERCIAL VEHICLE PRODUCTS, LLC",136,DANA COMMERCIAL VEHICLE PRODUCTS LLC
"DANA DRIVESHAFT MANUFACTURING, LLC",136,DANA DRIVESHAFT MANUFACTURING LLC
"DANA DRIVESHAFT PRODUCTS, LLC",136,DANA DRIVESHAFT PRODUCTS LLC
"DANA GLOBAL PRODUCTS, INC.",136,DANA GLOBAL PRODUCTS INC
DANA HOLDING CORPORATION,136,DANA HOLDING CORP
"DANA LIGHT AXLE MANUFACTURING, LLC",136,DANA LIGHT AXLE MANUFACTURING LLC
"DANA LIGHT AXLE PRODUCTS, LLC",136,DANA LIGHT AXLE PRODUCTS LLC
"DANA OFF HIGHWAY PRODUCTS, LLC",136,DANA OFF HIGHWAY PRODUCTS LLC
"DANA SEALING MANUFACTURING, LLC",136,DANA SEALING MANUFACTURING LLC
"DANA SEALING PRODUCTS, LLC",136,DANA SEALING PRODUCTS LLC
"DANA STRUCTURAL PRODUCTS, LLC",136,DANA STRUCTURAL PRODUCTS LLC
"DANA THERMAL PRODUCTS, LLC",136,DANA THERMAL PRODUCTS LLC
DANA WORLD TRADE CORPORATION,136,DANA WORLD TRADE CORP
DTF TRUCKING INC.,136,DTF TRUCKING INC
"SPICER HEAVY AXLE & BRAKE, INC.",136,SPICER HEAVY AXLE & BRAKE INC
"GERBER SCIENTIFIC INTERNATIONAL, INC.",135,GERBER SCIENTIFIC INTERNATIONAL INC
GRASS VALLEY (U.S.) INC.,135,GRASS VALLEY US INC
THOMSON LICENSING,135,THOMSON LICENSING
UNITED INDUSTRIES CORPORATION,135,UNITED INDUSTRIES CORP
DE NEEF CONSTRUCTION CHEMICALS (US) INC.,134,DE NEEF CONSTRUCTION CHEMICALS US INC
FIBERVISION INCORPORATED,134,FIBERVISION INC
"HLI OPERATING COMPANY, INC.",134,HLI OPERATING CO INC
"NEUSTAR, INC.",134,NEUSTAR INC
"NOVA WILDCAT SHUR-LINE, LLC",134,NOVA WILDCAT SHUR-LINE LLC
SWEETHEART CUP COMPANY INC.,134,SWEETHEART CUP CO INC
VERIFI LLC,134,VERIFI LLC
MIKE'S HOLDING COMPANY,133,MIKE S HOLDING CO
UNIROYAL CHEMICAL COMPANY,133,UNIROYAL CHEMICAL CO
"APW TOOLS AND SUPPLIES, INC. N/K/A/ GB TOOLS AND SUPPLIES, INC.",132,APW TOOLS & SUPPLIES INC N K A GB TOOLS & SUPPLIES INC
"DIXON INDUSTRIES, INC.",132,DIXON INDUSTRIES INC
ESCORT INC.,132,ESCORT INC
ETHLYL CORPORATION,132,ETHLYL CORP
"FEDERAL-MOGUL WORLDWIDE, INC.",132,FEDERAL-MOGUL WORLDWIDE INC
"FUELCELL ENERGY, INC.",132,FUELCELL ENERGY INC
"APW TOOLS AND SUPPLIES, INC. N/K/A GB TOOLS AND SUPPLIES, INC.",131,APW TOOLS & SUPPLIES INC N K A GB TOOLS & SUPPLIES INC
"ATRICURE, INC.",131,ATRICURE INC
"ATRICURE, LLC",131,ATRICURE LLC
CHIMERA RESEARCH AND CHEMICAL INC.,131,CHIMERA RESEARCH & CHEMICAL INC
"DOUBLE BULL ARCHERY, INC.",131,DOUBLE BULL ARCHERY INC
"ENDOSCOPIC TECHNOLOGIES, LLC",131,ENDOSCOPIC TECHNOLOGIES LLC
"GENERAL DATACOMM, INC.",131,GENERAL DATACOMM INC
"MEASUREMENT SPECIALTIES, INC.",131,MEASUREMENT SPECIALTIES INC
"NCONTACT SURGICAL, LLC",131,NCONTACT SURGICAL LLC
"PRIMOS, INC.",131,PRIMOS INC
SENTREHEART LLC,131,SENTREHEART LLC
"SHFL ENTERTAINMENT, INC., FORMERLY KNOWN AS SHUFFLE MASTER, INC.",131,SHFL ENTERTAINMENT INC FORMERLY KNOWNAS SHUFFLE MASTER INC
"WELLMAN, INC.",131,WELLMAN INC
ALCOA USA CORP.,130,ALCOA USA CORP
"K2M HOLDINGS, INC.",130,K2M HOLDINGS INC
K2M UK LIMITED,130,K2M UK LTD
WINDSOR FORESTRY TOOLS LLC,130,WINDSOR FORESTRY TOOLS LLC
AEHR TEST SYSTEMS,129,AEHR TEST SYSTEMS
BROAN-NUTONE LLC,129,BROAN-NUTONE LLC
D-M-E U.S.A. INC.,129,D-M-E USA INC
"SPEECO, INCORPORATED",129,SPEECO INC
"4520 CORP., INC.",128,4520 CORP INC
"AEROJET ROCKETDYNE, INC.",128,AEROJET ROCKETDYNE INC
"BUSHNELL, INC.",128,BUSHNELL INC
CONVATEC INC.,128,CONVATEC INC
"EPIZYME, INC.",128,EPIZYME INC
GEO SEMICONDUCTOR INC.,128,GEO SEMICONDUCTOR INC
"NOVATEL WIRELESS, INC.",128,NOVATEL WIRELESS INC
"SKYHIGH NETWORKS, LLC",128,SKYHIGH NETWORKS LLC
"AMO MANUFACTURING USA, LLC; FORMERLY VISX, INCORPORATED",127,AMO MANUFACTURING USA LLC FORMERLY VISX INC
"BI, L.L.C.",127,BI LLC
"BLOUNT INTERNATIONAL, INC.",127,BLOUNT INTERNATIONAL INC
CAMELBAK ACQUISITION CORPORATION,127,CAMELBAK ACQUISITION CORP
"EAGLE MAYAGUEZ, LLC",127,EAGLE MAYAGUEZ LLC
"EAGLE NEW BEDFORD, INC.",127,EAGLE NEW BEDFORD INC
FABTEK CORPORATION,127,FABTEK CORP
FREDERICK MANUFACTURING CORPORATION,127,FREDERICK MANUFACTURING CORP
"GEAR PRODUCTS, INC.",127,GEAR PRODUCTS INC
"INTARCIA THERAPEUTICS, INC.",127,INTARCIA THERAPEUTICS INC
"JIMMY STYKS, LLC",127,JIMMY STYKS LLC
"OMARK PROPERTIES, INC.",127,OMARK PROPERTIES INC
"OPT HOLDINGS, INC.",127,OPT HOLDINGS INC
VISTA COMMERCIAL AMMUNITION COMPANY INC.,127,VISTA COMMERCIAL AMMUNITION CO INC
VISTA COMMERCIAL AMMUNITION HOLDINGS COMPANY INC.,127,VISTA COMMERCIAL AMMUNITION HOLDINGS CO INC
VISTA OUTDOOR SALES LLC,127,VISTA OUTDOOR SALES LLC
WOODS EQUIPMENT COMPANY,127,WOODS EQUIPMENT CO
ANGIOSCORE INC.,126,ANGIOSCORE INC
BAROID CORPORATION,126,BAROID CORP
"IC SENSORS, INC.",126,IC SENSORS INC
LEAR CORPORATION EEDS AND INTERIORS,126,LEAR CORP EEDS & INTERIORS
LINEAGE POWER CORPORATION,126,LINEAGE POWER CORP
MALLINCKRODT ENTERPRISES LLC,126,MALLINCKRODT ENTERPRISES LLC
MALLINCKRODT PHARMACEUTICALS IRELAND LIMITED,126,MALLINCKRODT PHARMACEUTICALS IRELAND LTD
PF CONSUMER HEALTHCARE 1 LLC,126,PF CONSUMER HEALTHCARE 1 LLC
SUCAMPO PHARMA AMERICAS LLC,126,SUCAMPO PHARMA AMERICAS LLC
"THERAKOS, INC.",126,THERAKOS INC
ZIGHT CORPORATION,126,ZIGHT CORP
"ANGIOTECH PHARMACEUTICALS (US), INC.",125,ANGIOTECH PHARMACEUTICALS US INC
BELL & HOWELL OPERATING COMPANY,125,BELL & HOWELL OPERATING CO
"ESCREEN, INC.",125,ESCREEN INC
JOHNSON OUTDOORS INC.,125,JOHNSON OUTDOORS INC
"NETWORK EQUIPMENT TECHNOLOGIES, INC.",125,NETWORK EQUIPMENT TECHNOLOGIES INC
"NOVA WILDCAT AMEROCK, LLC",125,NOVA WILDCAT AMEROCK LLC
"PERFORMANCE TECHNOLOGIES, INCORPORATED",125,PERFORMANCE TECHNOLOGIES INC
"SONUS FEDERAL, INC.",125,SONUS FEDERAL INC
"SONUS INTERNATIONAL, INC.",125,SONUS INTERNATIONAL INC
"SONUS NETWORKS, INC.",125,SONUS NETWORKS INC
"TAQUA, INC.",125,TAQUA INC
THERMAL DYNAMICS CORPORATION,125,THERMAL DYNAMICS CORP
"ICU MEDICAL, INC.",124,ICU MEDICAL INC
TENNANT COMPANY,124,TENNANT CO
UNILOY MILACRON INC.,124,UNILOY MILACRON INC
"MULTIMEDIA GAMES, INC.",123,MULTIMEDIA GAMES INC
"NOVA WILDCAT BULLDOG, LLC",123,NOVA WILDCAT BULLDOG LLC
"BIOCRYST PHARMACEUTICALS, INC.",122,BIOCRYST PHARMACEUTICALS INC
CRIMSON CORPORATION,122,CRIMSON CORP
"MEREDIAN, INC.",122,MEREDIAN INC
"SHUFFLE MASTER, INC.",122,SHUFFLE MASTER INC
SIRIUS XM CONNECTED VEHICLE SERVICES INC.,122,SIRIUS XM CONNECTED VEHICLE SERVICES INC
STAMPS.COM INC.,122,STAMPS COM INC
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",122,WELLS FARGO BANK NA
WINCHESTER ELECTRONICS CORPORATION,122,WINCHESTER ELECTRONICS CORP
CRIMSON INTERNATIONAL ASSETS LLC,121,CRIMSON INTERNATIONAL ASSETS LLC
CRIMSON U.S. ASSETS LLC,121,CRIMSON US ASSETS LLC
"J. RAY MCDERMOTT, S.A.",121,J RAY MCDERMOTT SA
"ORTHO-CLINICAL DIAGNOSTICS, INC.",121,ORTHO-CLINICAL DIAGNOSTICS INC
UNIVERSITY OF ROCHESTER,121,UNIVERSITY OF ROCHESTER
"DOLE FOOD COMPANY, INC.",120,DOLE FOOD CO INC
"MOUNTAINSIDE MEDICAL COLORADO, LLC",120,MOUNTAINSIDE MEDICAL COLORADO LLC
"NEIPAL ENTERPRISES, INC.",120,NEIPAL ENTERPRISES INC
"RETAILMENOT, INC.",120,RETAILMENOT INC
VIRTU ITG SOFTWARE SOLUTIONS LLC,120,VIRTU ITG SOFTWARE SOLUTIONS LLC
"VISX, INCORPORATED",120,VISX INC
"ALERE CONNECT, LLC",119,ALERE CONNECT LLC
"ALERE SAN DIEGO, INC. (FKA BIOSITE INC. OR FKA CHOLESTECH CORP. OR FKA HEMOSENSE INC. OR FKA INVERNESS MEDICAL-BIOSTAR INC. OR FKA ISCHEMIA TECHNOLOGIES, INC. OR FKA TWISTDX, INC.)",119,ALERE SAN DIEGO INC FKA BIOSITE INC OR FKA CHOLESTECH CORP OR FKA HEMOSENSE INC OR FKA INVERNESS MEDICAL-BIOSTAR INC OR FKA ISCHEMIA TECHNOLOGIES INC OR FKA TWISTDX INC
"ALERE SCARBOROUGH, INC. (FKA MATRITECH, INC. FKA ADVANTAGE DIAGNOSTICS CORP. OR FKA BINAX, INC. OR FKA MILANO ACQUISITION CORP.)",119,ALERE SCARBOROUGH INC FKA MATRITECH INC FKA ADVANTAGE DIAGNOSTICS CORP OR FKA BINAX INC OR FKA MILANO ACQUISITION CORP
"INNOVACON, INC. (FKA APPLIED BIOTECH, INC. OR FKA AMEDITECH INC.)",119,INNOVACON INC FKA APPLIED BIOTECH INC OR FKA AMEDITECH INC
"IONIAN TECHNOLOGIES, LLC (FKA IONIAN TECHNOLOGIES, INC.)",119,IONIAN TECHNOLOGIES LLC FKA IONIAN TECHNOLOGIES INC
KRATON CHEMICAL B.V.,119,KRATON CHEMICAL BV
"KRATON CHEMICAL, LLC F/K/A ARIZONA CHEMICAL COMPANY, LLC",119,KRATON CHEMICAL LLC F K A ARIZONA CHEMICAL CO LLC
KRATON CORPORATION,119,KRATON CORP
NUMEREX CORP.,119,NUMEREX CORP
QUALITY ASSURED SERVICES INC. (FKA ZYCARE INC.),119,QUALITY ASSURED SERVICES INC FKA ZYCARE INC
SANDISK CORPORATION,119,SANDISK CORP
"STANDING STONE, LLC",119,STANDING STONE LLC
"STARTRAK INFORMATION TECHNOLOGIES, LLC",119,STARTRAK INFORMATION TECHNOLOGIES LLC
"TANTIVY COMMUNICATIONS, INC.",119,TANTIVY COMMUNICATIONS INC
"MEGABINGO INTERNATIONAL, LLC",118,MEGABINGO INTERNATIONAL LLC
"MGAM TECHNOLOGIES, LLC",118,MGAM TECHNOLOGIES LLC
"MULTIMEDIA GAMES HOLDING COMPANY, INC.",118,MULTIMEDIA GAMES HOLDING CO INC
NOVADAQ CORP.,118,NOVADAQ CORP
NOVADAQ TECHNOLOGIES INC.,118,NOVADAQ TECHNOLOGIES INC
UNOVA IP CORP.,118,UNOVA IP CORP
BETHLEHEM HIBBING CORPORATION,117,BETHLEHEM HIBBING CORP
"ECOBEE, INC.",117,ECOBEE INC
HARMONIC INC.,117,HARMONIC INC
ISG ACQUISITION INC.,117,ISG ACQUISITION INC
ISG BURNS HARBOR INC.,117,ISG BURNS HARBOR INC
ISG CLEVELAND INC.,117,ISG CLEVELAND INC
"ISG CLEVELAND WEST PROPERTIES, INC.",117,ISG CLEVELAND WEST PROPERTIES INC
"ISG CLEVELAND WEST, INC.",117,ISG CLEVELAND WEST INC
ISG CLEVELAND WORKS RAILWAY COMPANY,117,ISG CLEVELAND WORKS RAILWAY CO
"ISG HENNEPIN, INC.",117,ISG HENNEPIN INC
"ISG HIBBING, INC.",117,ISG HIBBING INC
ISG INDIANA HARBOR INC.,117,ISG INDIANA HARBOR INC
