ee_name,freq,entity_id,standard_name
ACLARA TECHNOLOGIES LLC,160,non_financial_32,ACLARA TECHNOLOGIES LLC
"APOLLO ENDOSURGERY, INC.",160,non_financial_256,APOLLO ENDOSURGERY
HADCO SANTA CLARA,160,non_financial_1512,HADCO SANTA CLARA
NEWPAGE CORPORATION,160,non_financial_2340,NEWPAGE CORP
PICTURETEL CORPORATION,160,non_financial_2593,PICTURETEL CORP
SANMINA CORPORATION,160,non_financial_2891,SANMINA CORP
SCI TECHNOLOGY,160,non_financial_2910,SCI TECHNOLOGY
"SENSORWISE, INC.",160,non_financial_15271,SENSORWISE INC
TAPCO INTERNATIONAL CORPORATION,160,non_financial_3190,TAPCO INTERNATIONAL CORP
FAIRCHILD HOLDING CORP.,159,non_financial_8409,FAIRCHILD HOLDING CORP
"GLOBAL ADVANCED METALS USA, INC.",159,non_financial_1441,GLOBAL ADVANCED METALS USA
"MIMEDX GROUP, INC.",159,non_financial_12207,MIMEDX GROUP INC
"TANNING RESEARCH LABORATORIES, INC",159,non_financial_3187,TANNING RESEARCH LABORATORIES
WALBRO CORPORATION,159,non_financial_3534,WALBRO CORP
"CONFORMIS, INC.",158,non_financial_6742,CONFORMIS INC
"BABCOCK & WILCOX ENTERPRISES, INC.",157,non_financial_18452,BABCOCK & WILCOX ENTERPRISES INC
"BABCOCK & WILCOX TECHNOLOGY, LLC",157,non_financial_18469,BABCOCK & WILCOX TECHNOLOGY LLC
"BABCOCK & WILCOX UNIVERSAL, INC.",157,non_financial_18471,BABCOCK & WILCOX UNIVERSAL INC
"DIAMOND POWER INTERNATIONAL, LLC",157,non_financial_18685,DIAMOND POWER INTERNATIONAL LLC
TOTAL LUBRICATION MANAGEMENT COMPANY,157,non_financial_16803,TOTAL LUBRICATION MANAGEMENT CO
"ASPECT SOFTWARE PARENT, INC.",156,non_financial_18428,ASPECT SOFTWARE PARENT INC
D-M-E COMPANY,156,non_financial_954,D-M-E CO
DAVOX INTERNATIONAL HOLDINGS LLC,156,non_financial_7270,DAVOX INTERNATIONAL HOLDINGS LLC
"EAGLEPICHER TECHNOLOGIES, LLC",156,non_financial_1117,EAGLEPICHER TECHNOLOGIES LLC
KEMET BLUE POWDER CORPORATION,156,non_financial_10825,KEMET BLUE POWDER CORP
"KEMET CORPORATION,",156,non_financial_1873,KEMET CORP
"MATRIA HEALTHCARE, INC.",156,non_financial_2105,MATRIA HEALTHCARE
"T-NETIX, INC.",156,non_financial_18345,T-NETIX
VOICEOBJECTS HOLDINGS INC.,156,non_financial_17609,VOICEOBJECTS HOLDINGS INC
"VOXEO PLAZA TEN, LLC",156,non_financial_17623,VOXEO PLAZA TEN LLC
NAVISTAR INTERNATIONAL CORPORATION,155,non_financial_12609,NAVISTAR INTERNATIONAL CORP
"POWERWAVE TECHNOLOGIES, INC.",155,non_financial_14012,POWERWAVE TECHNOLOGIES INC
"TII INDUSTRIES, INC.",155,non_financial_16724,TII INDUSTRIES INC
"WARNER ELECTRIC HOLDING, INC.",155,non_financial_3543,WARNER ELECTRIC TECHNOLOGY LLC
AMPHENOL CORPORATION,153,non_financial_211,AMPHENOL CORP
"BLADELOGIC, INC.",153,non_financial_5491,BLADELOGIC INC
BMC ACQUISITION L.L.C.,153,non_financial_5535,BMC ACQUISITION LLC
"BMC SOFTWARE, INC.",153,non_financial_5536,BMC SOFTWARE INC
"DYNAMIC MEDICAL SYSTEMS, LLC",153,non_financial_7736,DYNAMIC MEDICAL SYSTEMS LLC
"INVACARE CANADIAN FINANCE, LLC",153,non_financial_10417,INVACARE CANADIAN FINANCE LLC
"INVACARE CANDIAN HOLDINGS, INC.",153,non_financial_1783,INVACARE HOLDINGS LLC
INVACARE OUTCOMES MANAGEMENT LLC,153,non_financial_10424,INVACARE OUTCOMES MANAGEMENT LLC
IRVINE SENSORS CORPORATION,153,non_financial_1799,IRVINE SENSORS CORP
MILACRON LLC,153,non_financial_12184,MILACRON LLC
"SPIRIT AEROSYSTEMS HOLDINGS, INC.",153,non_financial_3068,SPIRIT AEROSYSTEMS
"SPIRIT AEROSYSTEMS NORTH CAROLINA, INC.",153,non_financial_3068,SPIRIT AEROSYSTEMS
"TI GROUP AUTOMOTIVE SYSTEMS, L.L.C.",153,non_financial_3274,TI GROUP AUTOMOTIVE SYSTEMS LLC
VERENIUM CORPORATION,153,non_financial_3443,VERENIUM CORP
"MISONIX OPCO, INC.",152,non_financial_2208,MISONIX OPCO
"TECHNIMOTION, LLC",152,non_financial_3203,TECHNIMOTION LLC
"APPLIED OPTOELECTRONICS, INC.",151,non_financial_265,APPLIED OPTOELECTRONICS
CHRYSLER CORPORATION,151,non_financial_746,CHRYSLER CORP
"CLARUS FLUID INTELLIGENCE, LLC",151,non_financial_763,CLARUS FLUID INTELLIGENCE LLC
ICONEX LLC (AS SUCCESSOR IN INTEREST TO NCR CORPORATION),151,non_financial_1666,ICONEX LLC
"MEDICAL DEVICE TECHNOLOGIES, INC.",151,non_financial_18898,MEDICAL DEVICE TECHNOLOGIES INC
QUEST SOFTWARE INC. (F/K/A DELL SOFTWARE INC.),151,non_financial_2730,QUEST SOFTWARE
ALCOTEC WIRE CORPORATION,150,non_financial_4231,ALCOTEC WIRE CORP
ALLOY RODS GLOBAL INC.,150,non_financial_4302,ALLOY RODS GLOBAL INC
ANDERSON GROUP INC.,150,non_financial_4564,ANDERSON GROUP INC
"DISTRIBUTION MINING & EQUIPMENT COMPANY, LLC",150,non_financial_7527,DISTRIBUTION MINING & EQUIPMENT CO LLC
EMSA HOLDINGS INC.,150,non_financial_8024,EMSA HOLDINGS INC
ESAB AB,150,non_financial_8204,ESAB AB
GREATBATCH INC.,150,non_financial_1472,GREATBATCH
HEXION INC.,150,non_financial_1588,HEXION SPECIALTY CHEMICALS
HOWDEN AMERICAN FAN COMPANY,150,non_financial_9723,HOWDENAMERICAN FAN CO
"HOWDEN COMPRESSORS, INC.",150,non_financial_9724,HOWDEN COMPRESSORS INC
HOWDEN GROUP LIMITED,150,non_financial_9725,HOWDEN GROUP LTD
HOWDEN NORTH AMERICA INC.,150,non_financial_9726,HOWDEN NORTH AMERICA INC
QIG GROUP LLC,150,non_financial_14299,QIG GROUP LLC
SHAWEBONE HOLDINGS INC.,150,non_financial_15349,SHAWEBONE HOLDINGS INC
THE ESAB GROUP INC.,150,non_financial_1226,ESAB GROUP
"VICTOR TECHNOLOGIES INTERNATIONAL, INC.",150,non_financial_3470,VICTOR TECHNOLOGIES INTERNATIONAL
COSMIC PET BRANDS LLC (F/K/A HYPER PET BRANDS LLC),148,non_financial_879,COSMIC PET LLC F K A HYPER PET LLC
COSMIC PET LLC (F/K/A HYPER PET LLC),148,non_financial_879,COSMIC PET LLC F K A HYPER PET LLC
GRAC HOLDINGS LLC,148,non_financial_9160,GRAC HOLDINGS LLC
"ISCHEMIA TECHNOLOGIES, INC.",148,non_financial_1800,ISCHEMIA TECHNOLOGIES
OURPET'S COMPANY,148,non_financial_13345,OURPET S CO
"PAWS MERGER PARENT, LLC",148,non_financial_13542,PAWS MERGER PARENT LLC
PET FUSION LLC,148,non_financial_13674,PET FUSION LLC
"SMP COMPANY, INCORPORATED",148,non_financial_15573,SMP CO INC
VIRTU COMPANY,148,non_financial_17522,VIRTU CO
WAYNE FUELING SYSTEMS LLC,148,non_financial_3556,WAYNE FUELING SYSTEMS LLC
DIGI INTERNATIONAL INC.,147,non_financial_7470,DIGI INTERNATIONAL INC
"ESSEX TECHNOLOGY, INC.",147,non_financial_1232,ESSEX TECHNOLOGY
"ICONEX LLC (AS SUCCESSOR IN INTEREST TO NCR CORPORATION AND NCR INTERNATIONAL, INC.)",147,non_financial_1666,ICONEX LLC
"COMSCORE, INC.",146,non_financial_830,COMSCORE
"GENIE INDUSTRIES, INC.",146,non_financial_1410,GENIE INDUSTRIES
"GEVO, INC.",146,non_financial_1429,GEVO
"K2M, INC.",146,non_financial_10728,K2M INC
"TEREX ADVANCE MIXER, INC.",146,non_financial_16488,TEREX ADVANCE MIXER INC
"IMO INDUSTRIES, INC.",145,non_financial_1689,IMO INDUSTRIES
"SENVID, INC.",145,non_financial_15279,SENVID INC
ADVANTAGE DIAGNOSTICS CORPORATION,144,non_financial_69,ADVANTAGE DIAGNOSTICS CORP
"ALERE MEDICAL, INC.",144,non_financial_124,ALERE MEDICAL
"ALERE SAN DIEGO, INC.",144,non_financial_18402,ALERE SAN DIEGO INC
"ALERE SCARBOROUGH, INC.",144,non_financial_125,ALERE SCARBOROUGH
AMEDITECH INC.,144,non_financial_4381,AMEDITECH INC
"APPLIED BIOTECH, INC.",144,non_financial_259,APPLIED BIOTECH
"BINAX, INC.",144,non_financial_491,BINAX
BIOSITE INCORPORATED,144,non_financial_5437,BIOSITE INC
CHOLESTECH CORPORATION,144,non_financial_6369,CHOLESTECH CORP
"GENECARE MEDICAL GENETICS CENTER, INC.",144,non_financial_8928,GENECARE MEDICAL GENETICS CENTER INC
"HEMOSENSE, INC.",144,non_financial_9519,HEMOSENSE INC
"INSTANT TECHNOLOGIES, INC.",144,non_financial_1730,INSTANT TECHNOLOGIES
INVERNESS MEDICAL - BIOSTAR INC.,144,non_financial_18799,INVERNESS MEDICAL - BIOSTAR INC
"KCI HOLDING COMPANY, INC.",144,non_financial_10790,KCI HOLDING CO
"KCI INTERNATIONAL, INC.",144,non_financial_1864,KCI INTERNATIONAL
MALLINCKRODT LLC,144,non_financial_2065,MALLINCKRODT LLC
"MATRITECH, INC.",144,non_financial_11772,MATRITECH INC
"ROKU DX HOLDINGS, INC.",144,non_financial_14851,ROKU DX HOLDINGS INC
SPECGX LLC,144,non_financial_15749,SPECGX LLC
STRATATECH CORPORATION,144,non_financial_16026,STRATATECH CORP
"ZYCARE, INC.",144,non_financial_3655,ZYCARE
"BOLLE AMERICA, INC.",143,non_financial_5563,BOLLE AMERICA INC
"DEG ACQUISITIONS, LLC",143,non_financial_993,DEG ACQUISITIONS LLC
DME COMPANY LLC,143,non_financial_956,DME CO LLC
"OLD WSR, INC.",143,non_financial_13139,OLD WSR INC
OMNOVA SOLUTIONS INC.,143,non_financial_2439,OMNOVA SOLUTIONS
"SERENGETI EYEWEAR, INC.",143,non_financial_15296,SERENGETI EYEWEAR INC
TASCO OPTICS CORPORATION,143,non_financial_16322,TASCO OPTICS CORP
"CEDARBURG PHARMACEUTICALS, INC.",142,non_financial_6144,CEDARBURG PHARMACEUTICALS INC
EUTICALS INC.,142,non_financial_8278,EUTICALS INC
"LEIDOS, INC.",142,non_financial_11227,LEIDOS INC
LOJACK CORPORATION,142,non_financial_2004,LOJACK CORP
"OSO BIOPHARMACEUTICALS MANUFACTURING, LLC",142,non_financial_2477,OSO BIOPHARMACEUTICALS MANUFACTURING LLC
VERINT VIDEO SOLUTIONS INC.,142,non_financial_3446,VERINT
ACUSHNET COMPANY,141,non_financial_3925,ACUSHNET CO
AFI LICENSING LLC,141,non_financial_87,AFI LICENSING LLC
"DRESSER CHINA, INC.",141,non_financial_7630,DRESSER CHINA INC
LVF HOLDING CORPORATION,141,non_financial_11522,LVF HOLDING CORP
RING-O VALVE INCORPORATED,141,non_financial_2823,RING-O VALVE
ROGERS CORPORATION,141,non_financial_14843,ROGERS CORP
"ROVI PRODUCT CORPORATION (AS SUCCESSOR-IN-INTEREST TO ROVI GUIDES, INC.)",141,non_financial_2855,ROVI TECHNOLOGIES CORP
"AVINTIV SPECIALTY MATERIALS, INC. (F/K/A POLYMER GROUP, INC.)",140,non_financial_401,AVINTIV SPECIALTY MATERIALS
"BABCOCK & WILCOX SPIG, INC.",140,non_financial_18466,BABCOCK & WILCOX SPIG INC
"BABCOCK & WILCOX TECHNOLOGY, LLC (F/K/A MCDERMOTT TECHNOLOGY, INC.)",140,non_financial_18470,BABCOCK & WILCOX TECHNOLOGY LLC F K A MCDERMOTT TECHNOLOGY INC
"DIAMOND POWER INTERNATIONAL, LLC (F/K/A DIAMOND POWER INTERNATIONAL, INC.)",140,non_financial_18686,DIAMOND POWER INTERNATIONAL LLC F K A DIAMOND POWER INTERNATIONAL INC
"ENTRUST HOLDINGS, INC.",140,non_financial_8128,ENTRUST HOLDINGS INC
"ENTRUST, INC.",140,non_financial_8131,ENTRUST INC
GCP APPLIED TECHNOLOGIES INC.,140,non_financial_8893,GCP APPLIED TECHNOLOGIES INC
"ORION SECURITY SOLUTIONS, INC.",140,non_financial_13310,ORION SECURITY SOLUTIONS INC
SOFCO-EFS HOLDINGS LLC,140,non_financial_15606,SOFCO-EFS HOLDINGS LLC
"THE BABCOCK & WILCOX COMPANY (F/K/A BABCOCK & WILCOX POWER GENERATION GROUP, INC.)",140,non_financial_19114,BABCOCK & WILCOX CO F K A BABCOCK & WILCOX POWER GENERATION GROUP INC
AMERICAN PRECISION INDUSTRIES INC.,139,non_financial_192,AMERICAN PRECISION INDUSTRIES
"APPAREL FABRICS PROPERTIES, INC.",139,non_financial_4650,APPAREL FABRICS PROPERTIES INC
"BALL SCREW & ACTUATORS CO., INC.",139,non_financial_424,BALL SCREW & ACTUATORS CO
"BURLINGTON INDUSTRIES V, LLC",139,non_financial_625,BURLINGTON INDUSTRIES LLC
BURLINGTON WORLDWIDE INC.,139,non_financial_5790,BURLINGTON WORLDWIDE INC
CONE ACQUISITION LLC,139,non_financial_6733,CONE ACQUISITION LLC
CONE ADMINISTRATIVE AND SALES LLC,139,non_financial_6734,CONE ADMINISTRATIVE & SALES LLC
CONE DENIM WHITE OAK LLC,139,non_financial_6735,CONE DENIM WHITE OAK LLC
"CONE INTERNATIONAL HOLDINGS II, LLC",139,non_financial_839,CONE INTERNATIONAL HOLDINGS LLC
"CONE INTERNATIONAL HOLDINGS, LLC",139,non_financial_839,CONE INTERNATIONAL HOLDINGS LLC
INTERNATIONAL TEXTILE GROUP ACQUISITION GROUP LLC,139,non_financial_10359,INTERNATIONAL TEXTILE GROUP
"TASCO HOLDINGS, INC.",139,non_financial_16321,TASCO HOLDINGS INC
THOMAS LINEAR LLC,139,non_financial_16666,THOMAS LINEAR LLC
"VALENTEC WELLS, LLC",139,non_financial_17312,VALENTEC WELLS LLC
"WLR CONE MILLS IP, INC.",139,non_financial_17996,WLR CONE MILLS IP INC
ELCO FASTENING SYSTEMS LLC,138,non_financial_1142,ELCO FASTENING SYSTEMS LLC
IMCOR PHARMACEUTICAL CO.,138,non_financial_10015,IMCOR PHARMACEUTICAL CO
"INTERNATIONAL STEEL GROUP, INC.",138,non_financial_10353,INTERNATIONAL STEEL GROUP INC
KRATON POLYMERS LLC,138,non_financial_1915,KRATON POLYMERS US LLC
"WOLVERINE METAL SPECIALTIES, INC.",138,non_financial_18011,WOLVERINE METAL SPECIALTIES INC
"BOLLE, INC.",137,non_financial_556,BOLLE
"BUSHNELL GROUP HOLDINGS, INC.",137,non_financial_631,BUSHNELL HOLDINGS
"HUMAN CAPITAL RESOURCES, INC., A DELAWARE CORPORATION, AS GRANTOR",137,non_financial_9782,HUMAN CAPITAL RESOURCES INC A DELAWARE CORP AS GRANTOR
HUNTSMAN SPECIALTY CHEMICALS CORPORATION,137,non_financial_9805,HUNTSMAN SPECIALTY CHEMICALS CORP
"INSTITIT KATALIZA IMENI G.K. BORESKOVA SIBIRSKOGO OTDELENIA ROSSIISKOI AKADEMII NAUK, AS GRANTOR",137,non_financial_10227,INSTITIT KATALIZA IMENI G K BORESKOVA SIBIRSKOGO OTDELENIA ROSSIISKOI AKADEMII NAUK AS GRANTOR
"MANAN MEDICAL PRODUCTS, INC.",137,non_financial_11656,MANAN MEDICAL PRODUCTS INC
"MITSUBISH DENKI KABUSHIKI KAISHA, AS GRANTOR",137,non_financial_12252,MITSUBISH DENKI KABUSHIKI KAISHA AS GRANTOR
"NOKIA CORPORATION, AS GRANTOR",137,non_financial_12886,NOKIA CORP AS GRANTOR
"NORTHROP GRUMMAN CORPORATION, A DELAWARE CORPORATION, AS GRANTOR",137,non_financial_18933,NORTHROP GRUMMAN CORP A DELAWARE CORP AS GRANTOR
"PRIMELINE GAMING TECHNOLOGIES, INC.",137,non_financial_14108,PRIMELINE GAMING TECHNOLOGIES INC
"STRYKER LEIBINGER GMBH & CO., KG, AS GRANTOR",137,non_financial_16061,STRYKER LEIBINGER GMBH & CO KG AS GRANTOR
"VIKING MERGER SUBSIDIARY, LLC",137,non_financial_17505,VIKING MERGER SUBSIDIARY LLC
WESTFALIA-AUTOMOTIVE GMBH,137,non_financial_17860,WESTFALIA-AUTOMOTIVE GMBH
"COMARCO WIRELESS TECHNOLOGIES, INC.",136,non_financial_6636,COMARCO WIRELESS TECHNOLOGIES INC
"DANA AUTOMOTIVE AFTERMARKET, INC.",136,non_financial_18656,DANA AUTOMOTIVE AFTERMARKET INC
"DANA COMMERCIAL VEHICLE MANUFACTURING, LLC",136,non_financial_7213,DANA COMMERCIAL VEHICLE PRODUCTS LLC
"DANA COMMERCIAL VEHICLE PRODUCTS, LLC",136,non_financial_7213,DANA COMMERCIAL VEHICLE PRODUCTS LLC
"DANA DRIVESHAFT MANUFACTURING, LLC",136,non_financial_18658,DANA DRIVESHAFT MANUFACTURING LLC
"DANA DRIVESHAFT PRODUCTS, LLC",136,non_financial_18659,DANA DRIVESHAFT PRODUCTS LLC
"DANA GLOBAL PRODUCTS, INC.",136,non_financial_7214,DANA GLOBAL PRODUCTS INC
DANA HOLDING CORPORATION,136,non_financial_7216,DANA HOLDING CORP
"DANA LIGHT AXLE MANUFACTURING, LLC",136,non_financial_18660,DANA LIGHT AXLE MANUFACTURING LLC
"DANA LIGHT AXLE PRODUCTS, LLC",136,non_financial_18661,DANA LIGHT AXLE PRODUCTS LLC
"DANA OFF HIGHWAY PRODUCTS, LLC",136,non_financial_7218,DANA OFF HIGHWAY PRODUCTS LLC
"DANA SEALING MANUFACTURING, LLC",136,non_financial_18662,DANA SEALING MANUFACTURING LLC
"DANA SEALING PRODUCTS, LLC",136,non_financial_18663,DANA SEALING PRODUCTS LLC
"DANA STRUCTURAL PRODUCTS, LLC",136,non_financial_962,DANA STRUCTURAL PRODUCTS LLC
"DANA THERMAL PRODUCTS, LLC",136,non_financial_7219,DANA THERMAL PRODUCTS LLC
DANA WORLD TRADE CORPORATION,136,non_financial_7220,DANA WORLD TRADE CORP
DTF TRUCKING INC.,136,non_financial_7676,DTF TRUCKING INC
"SPICER HEAVY AXLE & BRAKE, INC.",136,non_financial_15806,SPICER HEAVY AXLE & BRAKE INC
"GERBER SCIENTIFIC INTERNATIONAL, INC.",135,non_financial_1427,GERBER SCIENTIFIC
GRASS VALLEY (U.S.) INC.,135,non_financial_1470,GRASS VALLEY US
THOMSON LICENSING,135,non_financial_16675,THOMSON LICENSING
UNITED INDUSTRIES CORPORATION,135,non_financial_3399,UNITED INDUSTRIES CORP
DE NEEF CONSTRUCTION CHEMICALS (US) INC.,134,non_financial_7298,DE NEEF CONSTRUCTION CHEMICALS US INC
FIBERVISION INCORPORATED,134,non_financial_8535,FIBERVISION INC
"HLI OPERATING COMPANY, INC.",134,non_financial_9638,HLI OPERATING CO INC
"NEUSTAR, INC.",134,non_financial_12746,NEUSTAR INC
"NOVA WILDCAT SHUR-LINE, LLC",134,non_financial_18942,NOVA WILDCAT SHUR-LINE LLC
SWEETHEART CUP COMPANY INC.,134,non_financial_3151,SWEETHEART CUP CO
VERIFI LLC,134,non_financial_17406,VERIFI LLC
MIKE'S HOLDING COMPANY,133,non_financial_12174,MIKE S HOLDING CO
UNIROYAL CHEMICAL COMPANY,133,non_financial_3393,UNIROYAL CHEMICAL CO DELAWARE
"APW TOOLS AND SUPPLIES, INC. N/K/A/ GB TOOLS AND SUPPLIES, INC.",132,non_financial_276,APW TOOLS & SUPPLIES N K A GB TOOLS & SUPPLIES
"DIXON INDUSTRIES, INC.",132,non_financial_1063,DIXON INDUSTRIES
ESCORT INC.,132,non_financial_8214,ESCORT INC
ETHLYL CORPORATION,132,non_financial_8244,ETHLYL CORP
"FEDERAL-MOGUL WORLDWIDE, INC.",132,non_financial_1292,FEDERAL-MOGUL WORLD WIDE LLC
"FUELCELL ENERGY, INC.",132,non_financial_8798,FUELCELL ENERGY INC
"APW TOOLS AND SUPPLIES, INC. N/K/A GB TOOLS AND SUPPLIES, INC.",131,non_financial_276,APW TOOLS & SUPPLIES N K A GB TOOLS & SUPPLIES
"ATRICURE, INC.",131,non_financial_4940,ATRICURE INC
"ATRICURE, LLC",131,non_financial_374,ATRICURE LLC
CHIMERA RESEARCH AND CHEMICAL INC.,131,non_financial_6363,CHIMERA RESEARCH & CHEMICAL INC
"DOUBLE BULL ARCHERY, INC.",131,non_financial_7598,DOUBLE BULL ARCHERY INC
"ENDOSCOPIC TECHNOLOGIES, LLC",131,non_financial_1182,ENDOSCOPIC TECHNOLOGIES LLC
"GENERAL DATACOMM, INC.",131,non_financial_1399,GENERAL DATACOMM
"MEASUREMENT SPECIALTIES, INC.",131,non_financial_2122,MEASUREMENT SPECIALTIES
"NCONTACT SURGICAL, LLC",131,non_financial_2314,NCONTACT SURGICAL LLC
"PRIMOS, INC.",131,non_financial_14114,PRIMOS INC
SENTREHEART LLC,131,non_financial_2944,SENTREHEART LLC
"SHFL ENTERTAINMENT, INC., FORMERLY KNOWN AS SHUFFLE MASTER, INC.",131,non_financial_2953,SHFL ENTERTAINMENT
"WELLMAN, INC.",131,non_financial_3574,WELLMAN
ALCOA USA CORP.,130,non_financial_4228,ALCOA USA CORP
"K2M HOLDINGS, INC.",130,non_financial_1852,K2M HOLDINGS
K2M UK LIMITED,130,non_financial_10727,K2M UK LTD
WINDSOR FORESTRY TOOLS LLC,130,non_financial_3596,WINDSOR FORESTRY TOOLS LLC
AEHR TEST SYSTEMS,129,non_financial_4045,AEHR TEST SYSTEMS
BROAN-NUTONE LLC,129,non_financial_593,BROAN-NUTONE LLC
D-M-E U.S.A. INC.,129,non_financial_955,D-M-E USA
"SPEECO, INCORPORATED",129,non_financial_15786,SPEECO INC
"4520 CORP., INC.",128,non_financial_4,4520 CORP
"AEROJET ROCKETDYNE, INC.",128,non_financial_78,AEROJET ROCKETDYNE OF DE F K A PRATT & WHITNEY ROCKETDYNE
"BUSHNELL, INC.",128,non_financial_632,BUSHNELL
CONVATEC INC.,128,non_financial_6805,CONVATEC INC
"EPIZYME, INC.",128,non_financial_8178,EPIZYME INC
GEO SEMICONDUCTOR INC.,128,non_financial_1416,GEO SEMICONDUCTOR
"NOVATEL WIRELESS, INC.",128,non_financial_2383,NOVATEL WIRELESS
"SKYHIGH NETWORKS, LLC",128,non_financial_15513,SKYHIGH NETWORKS LLC
"AMO MANUFACTURING USA, LLC; FORMERLY VISX, INCORPORATED",127,non_financial_4486,AMO MANUFACTURING USA LLC FORMERLY VISX INC
"BI, L.L.C.",127,non_financial_486,BI LLC
"BLOUNT INTERNATIONAL, INC.",127,non_financial_538,BLOUNT INTERNATIONAL
CAMELBAK ACQUISITION CORPORATION,127,non_financial_649,CAMELBAK ACQUISITION CORP
"EAGLE MAYAGUEZ, LLC",127,non_financial_7766,EAGLE MAYAGUEZ LLC
"EAGLE NEW BEDFORD, INC.",127,non_financial_7768,EAGLE NEW BEDFORD INC
FABTEK CORPORATION,127,non_financial_1267,FABTEK CORP
FREDERICK MANUFACTURING CORPORATION,127,non_financial_1352,FREDERICK MANUFACTURING CORP
"GEAR PRODUCTS, INC.",127,non_financial_1388,GEAR PRODUCTS
"INTARCIA THERAPEUTICS, INC.",127,non_financial_10242,INTARCIA THERAPEUTICS INC
"JIMMY STYKS, LLC",127,non_financial_1835,JIMMY STYKS LLC
"OMARK PROPERTIES, INC.",127,non_financial_2427,OMARK PROPERTIES
"OPT HOLDINGS, INC.",127,non_financial_13227,OPT HOLDINGS INC
VISTA COMMERCIAL AMMUNITION COMPANY INC.,127,non_financial_3492,VISTA COMMERCIAL AMMUNITION CO
VISTA COMMERCIAL AMMUNITION HOLDINGS COMPANY INC.,127,non_financial_3492,VISTA COMMERCIAL AMMUNITION CO
VISTA OUTDOOR SALES LLC,127,non_financial_3493,VISTA OUTDOOR OPERATIONS LLC
WOODS EQUIPMENT COMPANY,127,non_financial_18022,WOODS EQUIPMENT CO
ANGIOSCORE INC.,126,non_financial_4584,ANGIOSCORE INC
BAROID CORPORATION,126,non_financial_448,BAROID CORP A CORP OF DE
"IC SENSORS, INC.",126,non_financial_1661,IC SENSORS
LEAR CORPORATION EEDS AND INTERIORS,126,non_financial_1970,LEAR CORP
LINEAGE POWER CORPORATION,126,non_financial_11360,LINEAGE POWER CORP
MALLINCKRODT ENTERPRISES LLC,126,non_financial_11643,MALLINCKRODT ENTERPRISES LLC
MALLINCKRODT PHARMACEUTICALS IRELAND LIMITED,126,non_financial_11647,MALLINCKRODT PHARMACEUTICALS IRELAND LTD
PF CONSUMER HEALTHCARE 1 LLC,126,non_financial_13689,PF CONSUMER HEALTHCARE 1 LLC
SUCAMPO PHARMA AMERICAS LLC,126,non_financial_16077,SUCAMPO PHARMA AMERICAS LLC
"THERAKOS, INC.",126,non_financial_16614,THERAKOS INC
ZIGHT CORPORATION,126,non_financial_18266,ZIGHT CORP
"ANGIOTECH PHARMACEUTICALS (US), INC.",125,non_financial_238,ANGIOTECH PHARMACEUTICALS
BELL & HOWELL OPERATING COMPANY,125,non_financial_18495,BELL & HOWELL OPERATING CO
"ESCREEN, INC.",125,non_financial_1228,ESCREEN
JOHNSON OUTDOORS INC.,125,non_financial_1839,JOHNSON OUTDOORS
"NETWORK EQUIPMENT TECHNOLOGIES, INC.",125,non_financial_12723,NETWORK EQUIPMENT TECHNOLOGIES INC
"NOVA WILDCAT AMEROCK, LLC",125,non_financial_18936,NOVA WILDCAT AMEROCK LLC
"PERFORMANCE TECHNOLOGIES, INCORPORATED",125,non_financial_13639,PERFORMANCE TECHNOLOGIES INC
"SONUS FEDERAL, INC.",125,non_financial_15669,SONUS FEDERAL INC
"SONUS INTERNATIONAL, INC.",125,non_financial_15670,SONUS INTERNATIONAL INC
"SONUS NETWORKS, INC.",125,non_financial_15671,SONUS NETWORKS INC
"TAQUA, INC.",125,non_financial_16312,TAQUA INC
THERMAL DYNAMICS CORPORATION,125,non_financial_16628,THERMAL DYNAMICS CORP
"ICU MEDICAL, INC.",124,non_financial_9931,ICU MEDICAL INC
TENNANT COMPANY,124,non_financial_16474,TENNANT CO
UNILOY MILACRON INC.,124,non_financial_3389,UNILOY MILACRON USA
"MULTIMEDIA GAMES, INC.",123,non_financial_2273,MULTIMEDIA GAMES
"NOVA WILDCAT BULLDOG, LLC",123,non_financial_18940,NOVA WILDCAT BULLDOG LLC
"BIOCRYST PHARMACEUTICALS, INC.",122,non_financial_5379,BIOCRYST PHARMACEUTICALS INC
CRIMSON CORPORATION,122,non_financial_6977,CRIMSON CORP
"MEREDIAN, INC.",122,non_financial_11998,MEREDIAN INC
"SHUFFLE MASTER, INC.",122,non_financial_15388,SHUFFLE MASTER INC
SIRIUS XM CONNECTED VEHICLE SERVICES INC.,122,non_financial_2997,SIRIUS XM RADIO
STAMPS.COM INC.,122,non_financial_15895,STAMPS COM INC
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS COLLATERAL AGENT",122,non_financial_3575,WELLS FARGO BANK NA
WINCHESTER ELECTRONICS CORPORATION,122,non_financial_17941,WINCHESTER ELECTRONICS CORP
CRIMSON INTERNATIONAL ASSETS LLC,121,non_financial_6978,CRIMSON INTERNATIONAL ASSETS LLC
CRIMSON U.S. ASSETS LLC,121,non_financial_6980,CRIMSON US ASSETS LLC
"J. RAY MCDERMOTT, S.A.",121,non_financial_1818,J RAY MCDERMOTT
"ORTHO-CLINICAL DIAGNOSTICS, INC.",121,non_financial_2468,ORTHO-CLINICAL DIAGNOSTICS
UNIVERSITY OF ROCHESTER,121,non_financial_17238,UNIVERSITY OF ROCHESTER
