or_name,freq,entity_id,standard_name
LIBERTY MEDIA CORPORATION,91,financial_4679,LIBERTY MEDIA CORP
"MORGAN STANLEY & CO., INC., AS COLLATERAL AGENT",91,financial_731,MORGAN STANLEY SENIOR FUNDING
"U.S. BANK NATIONAL ASSOCIATION (AS SUCCESSOR TO WACHOVIA BANK, NATIONAL ASSOCIATION), AS COLLATERAL AGENT",91,financial_3,US BANK NA
WILMINGTON TRUST (LONDON) LIMITED,91,financial_1111,WILMINGTON NA
"DEUTSCHE BANK TRUST COMPANY AMERICAS, AS GRANTEE",90,financial_350,DEUTSCHE BANK
FORTRESS CREDIT CO LLC,90,financial_455,FORTRESS CREDIT CO LLC
"NOMURA CORPORATE FUNDING AMERICAS, LLC",90,financial_768,NOMURA CORPORATE FUNDING LLC
"U.S. BANK NATIONAL ASSOCIATION, AS NOTES COLLATERAL AGENT",90,financial_3,US BANK NA
"WELLS FARGO BANK, NATIONAL ASSOCIATION FKA WELLS FARGO FOOTHILL, INC.",90,financial_1103,WELLS FARGO BANK NA
"BANK OF AMERICA, N.A. (SUCCESSOR BY MERGER TO FLEET NATIONAL BANK)",88,financial_43,BANK OF AMERICA NA
"BARCLAYS BANK PLC, AS GRANTEE",88,financial_126,BARCLAYS BANK
"CHASE MANHATTAN BANK, N.A.",88,financial_231,CHASE MANHATTAN BANK
"DAVID E. KELBY AND VIRGINIA H. KELBY, AS JOINT TENANTS",88,financial_3401,DAVID E KELBY & VIRGINIA H KELBY AS JOINT TENANTS
"DEUTSCHE BANK AG NEW YORK BRANCH, AS SECURITY AGENT",88,financial_350,DEUTSCHE BANK
DONALD BRATTAIN,88,financial_3512,DONALD BRATTAIN
GROSSMAN INVESTMENTS,88,financial_513,GROSSMAN INVESTMENTS
"HPS INVESTMENT PARTNERS, LLC, AS ADMINISTRATIVE AGENT",88,financial_559,HPS INVESTMENT PARTNERS LLC
"OKABENA PARTNERSIP V-8 BY OKABENA INVESTMENT SERVICES, INC. MANAGER",88,financial_795,OKABENA PARTNERSIP V-8 BY OKABENA INVESTMENT SERVICES MANAGER
SAGARD HOLDINGS MANAGER LP,88,financial_1554,SAGARD HOLDINGS MANAGER LP
"SIT INVESTMENT ASSOCIATES, INC.",88,financial_958,SIT INVESTMENT ASSOCIATES
"TD BANK, N.A., AS ADMINISTRATIVE AGENT",88,financial_1020,TD BANK NA
W. WILLIAM BEDNARCZYK,88,financial_2923,W WILLIAM BEDNARCZYK
WILLIAM A. HODDER,88,financial_3156,WILLIAM A HODDER
WILLIAM F. FARLEY D/B/A LIVINGSTON CAPITAL,88,financial_3158,WILLIAM F FARLEY D B A LIVINGSTON CAPITAL
WINSTON R. WALLIN/WALLIN FAMILY FOUNDATION,88,financial_3220,WINSTON R WALLIN WALLIN FAMILY FOUNDATION
ALTER DOMUS (US) LLC,87,financial_38,ALTER DOMUS US LLC
ATHYRIUM OPPORTUNITIES III ACQUISITION LP,87,financial_79,ATHYRIUM OPPORTUNITIES II ACQUISITION
"JPMORGAN CHASE BANK, N.A. (ON ITS BEHALF AND ON BEHALF OF ITS PREDECESSOR IN INTEREST, CHASE MANHATTAN BANK)",87,financial_605,JP MORGAN CHASE BANK NA
TRANSAMERICA BUSINESS CREDIT CORPORATION,87,financial_1045,TRANSAMERICA BUSINESS CREDIT CORP
"CANADIAN IMPERIAL BANK OF COMMERCE, ACTING THROUGH ITS NEW YORK AGENCY, AS ADMINISTRATIVE AGENT",86,financial_198,CANADIAN IMPERIAL BANK OF COMMERCE
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS GRANTEE",86,financial_309,CREDIT SUISSE
EASTMAN KODAK COMPANY,86,financial_375,EASTMAN KODAK CO
GOLUB CAPITAL MARKETS LLC,86,financial_503,GOLUB CAPITAL MARKETS LLC
"HSBC BANK USA, NATIONAL ASSOCIATION (FORMERLY KNOWN AS HSBC BANK USA)",86,financial_560,HSBC BANK USA NA
"ORBIMED ROYALTY OPPORTUNITIES II, LP",86,financial_800,ORBIMED ROYALTY OPPORTUNITIES II
"PARAGON TRADE BRANDS, INC.",85,financial_5363,PARAGON TRADE BRANDS INC
"U.S. BANK NATIONAL ASSOCIATION (AS SUCCESSOR TO STATE STREET BANK AND TRUST COMPANY OF CALIFORNIA, N.A.), AS COLLATERAL TRUSTEE",85,financial_3,US BANK NA
AVENTISUB LLC,84,financial_1729,AVENTISUB LLC
"CREDIT SUISSE, SYDNEY BRANCH",84,financial_309,CREDIT SUISSE
"DEUTSCHE BANK TRUST COMPANY AMERICAS (F/K/A BANKERS TRUST COMPANY), AS ADMINISTRATIVE AGENT",84,financial_350,DEUTSCHE BANK
LASALLE BANK NATIONAL ASSOCIATION,84,financial_636,LASALLE BANK NA
"MORGAN STANLEY & CO. INCORPORATED, AS FACILITY COLLATERAL AGENT",84,financial_731,MORGAN STANLEY SENIOR FUNDING
"SOUTHEAST COMMUNITY DEVELOPMENT FUND X, L.L.C.",84,financial_1925,SOUTHEAST COMMUNITY DEVELOPMENT FUND X LLC
"UNITED STATES BANKRUPTCY COURT, DISTRICT OF NEW HAMPSHIRE, CASE 04-14151, JUDGE J. MICHAEL DEASY, DOCUMENT NO. 819",84,financial_121,US BANKRUPTCY COURT DISTRICT OF NEW HAMPSHIRE CASE 04-14151 JUDGE J MICHAEL DEASY DOCUMENT NO 819
"HSBC BANK USA, N.A.",83,financial_560,HSBC BANK USA NA
GLAS TRUST CORPORATION LIMITED,82,financial_491,GLAS RP
"MORGAN STANLEY SENIOR FUNDING, INC., AS ADMINISTRATIVE AGENT (NATIONAL BANKING CORPORATION)",82,financial_731,MORGAN STANLEY SENIOR FUNDING
"AGILITY CAPITAL, LLC",81,financial_21,AGILITY CAPITAL LLC
"ANTARES CAPITAL LP, AS COLLATERAL AGENT",81,financial_55,ANTARES CAPITAL
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS AGENT",81,financial_309,CREDIT SUISSE
"FOF PARTNERS III, L.P.",81,financial_451,FOF PARTNERS III
"FOF PARTNERS III-B, L.P.",81,financial_451,FOF PARTNERS III
NYLIM MEZZANINE PARTNERS PARALLEL FUND LP,81,financial_785,NYLIM MEZZANINE PARTNERS PARALLEL FUND
PROGRESSIVE GAMING INTERNATIONAL CORPORATION,81,financial_1215,PROGRESSIVE GAMING INTERNATIONAL CORP
"SPCP GROUP, L.L.C.",81,financial_982,SPCP GROUP LLC
"T3 GENPAR II, L.P.",81,financial_2176,T3 GENPAR II LP
"T3 PARALLEL II, L.P.",81,financial_2177,T3 PARALLEL II LP
"TPG DUTCH PARALELL III, C.V.",81,financial_2521,TPG DUTCH PARALELL III C V
"TPG INVESTORS III, L.P.",81,financial_2524,TPG INVESTORS III LP
"TPG PARTNERS III, L.P.",81,financial_1043,TPG PARTNERS IV
"TPG PARTNERS IV, L.P.",81,financial_1043,TPG PARTNERS IV
"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION (SUCCESSOR IN INTEREST TO U.S. BANK NATIONAL ASSOCIATION), AS COLLATERAL AGENT",81,financial_3,US BANK NA
"WB GEVO, LTD., AS SUCCESSOR IN INTEREST TO WHITEBOX ADVISORS LLC, AS ADMINISTRATIVE AGENT",81,financial_1097,WB GEVO SUCCESSOR IN INTEREST TO WHITEBOX ADVISORS LLC
"WEBSTER BANK, NATIONAL ASSOCIATION",81,financial_1098,WEBSTER BANK NA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, AS SUCCESSOR BY MERGER TO WELLS FARGO BANK TEXAS, N.A. (AS ADMINISTRATIVE AGENT)",81,financial_1103,WELLS FARGO BANK NA
BANKER'S TRUST COMPANY,80,financial_119,BANKER S
"CAPITAL FINANCE ADMINISTRATION, LLC, AS ADMINISTRATIVE AGENT",80,financial_202,CAPITAL FINANCE ADMINISTRATION LLC
"HSBC BANK USA, NATIONAL ASSOCIATION AS TRUSTEE AND COLLATERAL AGENT",80,financial_560,HSBC BANK USA NA
"WACHOVIA BANK NATIONAL ASSOCIATION, AS COL. AGT",80,financial_1091,WACHOVIA BANK NA
"WELLS FARGO BANK, NATIONAL ASSOCIATION (SUCCESSOR BY ASSIGNMENT TO GENERAL ELECTRIC CAPITAL CORPORATION)",80,financial_1103,WELLS FARGO BANK NA
"WELLS FARGO FOOTHILL, INC., AS ADMINISTRATIVE AGENT",80,financial_1103,WELLS FARGO BANK NA
CITIBANK N.A.,79,financial_251,CITIBANK NA
"CREDIT SUISSE FIRST BOSTON, ACTING THROUGH ITS CAYMAN ISLANDS BRANCH, AS ADMINISTRATIVE AGENT",79,financial_309,CREDIT SUISSE
GARRISON LOAN AGENCY SERVICES LLC,79,financial_468,GARRISON LOANAGENCY SERVICES LLC
KAVLICO CORPORATION,79,financial_4506,KAVLICO CORP
"MORGAN STANLEY SENIOR FUNDING, INC., AS COLLATERAL AGENT FOR THE SECURED PARTIES",79,financial_731,MORGAN STANLEY SENIOR FUNDING
OXFORD FINANCE CORPORATION,79,financial_807,OXFORD FINANCE LLC
"WHITEBOX VSC, LTD.",79,financial_3129,WHITEBOX VSC LTD
"ARTESYN EMBEDDED COMPUTING, INC. (F/K/A EMERSON NETWORK POWER - EMBEDDED COMPUTING, INC.)",78,financial_1648,ARTESYN EMBEDDED COMPUTING INC F K A EMERSON NETWORK POWER - EMBEDDED COMPUTING INC
"BANK OF AMERICA, N.A., NATIONAL ASSOCIATION",78,financial_43,BANK OF AMERICA NA
"CITIZENS BANK, NATIONAL ASSOCIATION (F/K/A RBS CITIZENS, N.A.)",78,financial_254,CITIZENS BANK NA
GENERAL MOTORS CORPORATION,78,financial_5602,GENERAL MOTORS CORP
"GOLUB CAPITAL MARKETS LLC, AS COLLATERAL AGENT",78,financial_503,GOLUB CAPITAL MARKETS LLC
"HERCULES TECHNOLOGY GROWTH CAPITAL, INC.",78,financial_544,HERCULES CAPITAL
"NATIONSBANK, N.A. AS COLLATERAL AGENT",78,financial_749,NATIONSBANK NA
"WELLS FARGO CAPITAL FINANCE, LLC, AS SUCCESSOR BY MERGER TO WACHOVIA CAPITAL FINANCE CORPORATION (WESTERN)",78,financial_1103,WELLS FARGO BANK NA
"CLUTTERBUCK CAPITAL MANAGEMENT, LLC",77,financial_3014,CLUTTERBUCK CAPITAL MANAGEMENT LLC
NAXYRIS S.A.,77,financial_754,NAXYRIS
"US BANK NATIONAL ASSOCIATION, AS COLLATERAL AGENT",77,financial_3,US BANK NA
BAM ADMINISTRATIVE SERVICES LLC,76,financial_1797,BAM ADMINISTRATIVE SERVICES LLC
DEUTSCHE BANK AG LONDON,76,financial_350,DEUTSCHE BANK
HORIZON TECHNOLOGY FINANCE CORPORATION,76,financial_555,HORIZON TECHNOLOGY FINANCE CORP
"JEFFERIES FINANCE LL> (AS SUCCESSOR BY ASSIGNMENT TO H.I.G. SECURUS AGENT, LLC)",76,financial_599,JEFFERIES FINANCE LLC
"NORWEST BUSINESS CREDIT, INC. (N/K/A WELLS FARGO BUSINESS CREDIT, INC.)",76,financial_779,NORWEST BUSINESS CREDIT
WELLS FARGO BANK. NATIONAL ASSOCIATION,76,financial_1103,WELLS FARGO BANK NA
"ACQUA LIANA CAPITAL PARTNERS, LLC",75,financial_1232,ACQUA LIANA CAPITAL PARTNERS LLC
ATHYRIUM OPPORTUNITIES FUND (A) LP,75,financial_79,ATHYRIUM OPPORTUNITIES II ACQUISITION
"GOLDMAN SACHS CREDIT PARTNERS, LP",75,financial_501,GOLDMAN SACHS BANK USA
"MEP PLP, LLC",75,financial_4894,MEP PLP LLC
MGG INVESTMENT GROUP LP,75,financial_706,MGG INVESTMENT GROUP
"CITIBANK, NA",74,financial_251,CITIBANK NA
"D.P. KELLY AND ASSOCIATES, L.P.",74,financial_327,D P KELLY & ASSOCIATES
DEPARTMENT OF PENSIONS-CITY OF LOS ANGELES,74,financial_3444,DEPARTMENT OF PENSIONS-CITY OF LOS ANGELES
FIRST DATA CORPORATION MASTER RETIREMENT TRUST,74,financial_5595,FIRST DATA CORP MASTER RETIREMENT TRUST
GENERAL MOTORS EMPLOYEE GLOBAL GROUP PENSION TRUST,74,financial_5603,GENERAL MOTORS EMPLOYEE GLOBAL GROUP PENSION TRUST
NAVY EXCHANGE SERVICE COMMAND RETIREMENT TRUST,74,financial_5117,NAVY EXCHANGE SERVICE COMMAND RETIREMENT TRUST
RAYTHEON CO. MASTER PENSION TRUST,74,financial_876,RAYTHEON CO
"WELLS FARGO FOOTHILL, INC. (FORMERLY FOOTHILL CAPITAL CORPORATION)",74,financial_1103,WELLS FARGO BANK NA
"WELLS FARGO FOOTHILL, INC., AS AGENT",74,financial_1103,WELLS FARGO BANK NA
"BANK OF AMERICA, N.A. (AS SUCCESSOR-BY-ASSIGNMENT TO UBS AG, STAMFORD BRANCH), AS ADMINISTRATIVE AGENT",73,financial_43,BANK OF AMERICA NA
BLUE TORCH FINANCE LLC,73,financial_152,BLUE TORCH FINANCE LLC
"CITIGROUP GLOBAL MARKETS REALTY CORP., AS ADMINISTRATIVE AGENT",73,financial_252,CITIGROUP GLOBAL MARKETS REALTY CORP
"FUSION-IO, INC.",73,financial_3906,FUSION-IO INC
"SCHOTTENFELD OPPORTUNITIES FUND II, L.P.",73,financial_3331,SCHOTTENFELD OPPORTUNITIES FUND II LP
"SOUTHEAST BANKN.A., MIDLAND BANK PLC AND CREDIT LYONNAIS",73,financial_977,SOUTHEAST BANK NA
ALPHA CAPITAL ANSTALT,72,financial_37,ALPHA CAPITAL ANSTALT
"B. RILEY COMMERCIAL CAPITAL, LLC, AS ADMINISTRATIVE AGENT",72,financial_1756,B RILEY COMMERCIAL CAPITAL LLC
"CREDIT SUISSE AG (F/K/A CREDIT SUISSE FIRST BOSTON), AS ADMINISTRATIVE AGENT",72,financial_309,CREDIT SUISSE
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH (F/K/A CREDIT SUISSE, CAYMAN ISLANDS BRANCH)",72,financial_309,CREDIT SUISSE
"CREDIT SUISSE AG, TORONTO BRANCH (F/K/A CREDIT SUISSE FIRST BOSTON, TORONTO BRANCH) AS CANADIAN ADMINISTRATIVE AGENT",72,financial_309,CREDIT SUISSE
"GACP FINANCE CO., LLC",72,financial_463,GACP FINANCE CO LLC
"JP MORGAN CHASE BANK, N.A., SUCCESSOR BY MERGER TO BANK ONE NA",72,financial_605,JP MORGAN CHASE BANK NA
"LONGVIEW FUND, L.P.",72,financial_4728,LONGVIEW FUND LP
"SWK FUNDING, LLC, AS COLLATERAL AGENT",72,financial_1012,SWK FUNDING LLC
"UBS AG, STAMFORD BRANCH, AS SECOND LIEN COLLATERAL AGENT",72,financial_1062,UBS STAMFORD
"AMERICAN CAPITAL, LTD., AS ADMINISTRATIVE AGENT",71,financial_45,AMERICAN CAPITAL FINANCIAL SERVICES
"BANK OF AMERICA, N. A.",71,financial_43,BANK OF AMERICA NA
"BANK OF AMERICA, N.A., AS ADMINISTRATIVE AGENT FOR LENDERS",71,financial_43,BANK OF AMERICA NA
"CAPITAL ONE, NATIONAL ASSOCIATION (AS SUCCESSOR BY MERGER TO HEALTHCARE FINANCIAL SOLUTIONS, LLC)",71,financial_204,CAPITAL ONE NA
CITY NATIONAL BANK,71,financial_256,NATIONAL BANK
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS ADMINISTRATIVE AGENT",71,financial_309,CREDIT SUISSE
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS SECOND LIEN COLLATERAL AGENT",71,financial_309,CREDIT SUISSE
"MANUFACTURERS NATIONAL BANK OF DETROIL (CORPORATE TRUSTEE) AND BLACK DONALD E., (INDIVIDUAL TRUSTEE)",71,financial_669,MANUFACTURERS NATIONAL BANK OF DETROIL CORPORATE & BLACK DONALD E INDIVIDUAL
"WACHOVIA, N.A., AS ADMINISTRATIVE AGENT",71,financial_1091,WACHOVIA BANK NA
"BANKAMERICA BUSINESS CREDIT, INC.",70,financial_5513,BANKAMERICA BUSINESS CREDIT
"CERBERUS BUSINESS FINANCE, LLC, AS COLLATERAL AGENT",70,financial_226,CERBERUS BUSINESS FINANCE LLC
CHMEICAL BANK,70,financial_2825,CHMEICAL BANK
"CITIBANK, N.A. AS COLLATERAL AGENT",70,financial_251,CITIBANK NA
"DELAWARE TRUST COMPANY (SUCCESSOR TO WELLS FARGO BANK, NATIONAL ASSOCIATION)",70,financial_344,DELAWARE
GORDON BROTHERS FINANCE COMPANY,70,financial_505,GORDON BROTHERS FINANCE CO
JOHN HANCOCK LIFE INSURANCE COMPANY,70,financial_603,JOHN HANCOCK LIFE INSURANCE CO
"JPMORGAN CHASE BANK, N.A., AS US COLLATERAL AGENT AND ADMINISTRATIVE AGENT",70,financial_605,JP MORGAN CHASE BANK NA
"BELL AND HOWELL BCC, LLC",69,financial_136,BELL & HOWELL LLC
"BELL AND HOWELL, LLC",69,financial_136,BELL & HOWELL LLC
"BANK ONE, COLORADO, NA",68,financial_113,BANK ONE NA
"BANK ONE, NA ( SUCCESSOR BY MERGER TO BANK ONE, COLORADO, NA)",68,financial_113,BANK ONE NA
FIRST NATIONAL BANK OF CHICAGO,68,financial_431,FIRST NATIONAL BANK OF CHICAGO
"JPMORGAN CHASE BANK, N.A., AS COLLATERAL AGENT FKA MORGAN GUARANTY TRUST COMPANY OF NEW YORK",68,financial_605,JP MORGAN CHASE BANK NA
SVIC. NO. 28 NEW TECHNOLOGY BUSINESS INVESTMENT L.L.P.,68,financial_1010,SVIC NO 28 NEW TECHNOLOGY BUSINESS INVESTMENT L
"THE BANK OF NEW YORK MELLON, AS ADMINISTRATIVE AGENT",68,financial_102,BANK OF NEW YORK MELLON
"TRUESENSE IMAGING, INC",68,financial_2588,TRUESENSE IMAGING INC
CIT FINANCE LLC,67,financial_245,CIT FINANCE LLC
"GOLDMAN SACHS BANK USA, AS AGENT",67,financial_501,GOLDMAN SACHS BANK USA
NATIONAL BANK OF DETROIT,67,financial_197,NATIONAL BANK OF DETROIT
"PERASO INC. F/K/A MOSYS, INC.",67,financial_5419,PERASO INC F K A MOSYS INC
"BANK OF AMERICA, N.A., SUCCESSOR IN INTEREST TO UBS AG STAMFORD BRANCH",66,financial_43,BANK OF AMERICA NA
"CAPITAL ROYALTY PARTNERS II L.P. - PARALLEL FUND ""A"" L.P.",66,financial_206,CAPITAL ROYALTY PARTNERS II
CIT HEALTHCARE LLC,66,financial_246,CIT HEALTHCARE LLC
"DEUTSCHE BANK AG NEW YORK BRANCH, AS AGENT",66,financial_350,DEUTSCHE BANK
DEUTSHCE FINANCIAL SERVICES CORPORATION AS COLLATERAL AGENT,66,financial_3458,DEUTSHCE FINANCIAL SERVICES CORPORATIONAS COLLATERAL AGENT
"SWK FUNDING LLC, AS AGENT",66,financial_1012,SWK FUNDING LLC
WELLS FARGO,66,financial_1103,WELLS FARGO BANK NA
"CANADIAN IMPERIAL BANK OF COMMERCE, NEW YORK AGENCY, AS AGENT",65,financial_198,CANADIAN IMPERIAL BANK OF COMMERCE
CANTOR FITZGERALD SECURITIES,65,financial_200,CANTOR FITZGERALD SECURITIES
"CREDIT SUISSE AG, CAYMAN ISLAND BRANCH, AS ADMINISTRATIVE AGENT",65,financial_309,CREDIT SUISSE
"ABLECO FINANCE, LLC",64,financial_5,ABLECO FINANCE LLC
"BANK OF AMERICA, N.A., ACTING IN ITS CAPACITY AS AGENT FOR THE LENDERS",64,financial_43,BANK OF AMERICA NA
MICHELIN FINANCE (PAYS-BAS) B.V.,64,financial_711,MICHELIN FINANCE PAYS-BAS
"CITIZENS BANK, N.A. (SUCCESSOR BY MERGER TO CITIZENS BANK OF PENNSYLVANIA), AS ADMINISTRATIVE AGENT",63,financial_254,CITIZENS BANK NA
IMPERIAL BANK,63,financial_118,IMPERIAL BANK
"JPMORGAN CHASE BANK, N.A. AS ADMINISTRATIVE AGENT",63,financial_605,JP MORGAN CHASE BANK NA
"OXFORD FINANCE LLC, AS AGENT",63,financial_807,OXFORD FINANCE LLC
"PERCEPTIVE CREDIT HOLDINGS III, LP",63,financial_825,PERCEPTIVE CREDIT HOLDINGS II
"SILICON VALLEY BANK, AS BANK",63,financial_950,SILICON VALLEY BANK
"BMO HARRIS BANK N.A., AS COLLATERAL AGENT",62,financial_154,BMO HARRIS BANK NA
"CAPITAL ROYALTY PARTNERS II - PARALLEL FUND ""B"" (CAYMAN) L.P.",62,financial_206,CAPITAL ROYALTY PARTNERS II
"CIT GROUP,THE/BUSINESS CREDIT, INC.",62,financial_244,CIT GROUP BUSINESS CREDIT
"CIT GROUP/BUSINES CREDIT, INC., THE",62,financial_244,CIT GROUP BUSINESS CREDIT
"CITIZENS BANK,N.A.",62,financial_254,CITIZENS BANK NA
INFINEON TECHNOLOGIES AG,62,financial_4334,INFINEON TECHNOLOGIES AG
"KEYBANK NATIONAL ASSOCIATION, AS COLLATERAL AGENT",62,financial_613,KEYBANK NA
WACHOVIA CAPITAL FINANCE CORPORATION (CENTRAL),62,financial_1092,WACHOVIA CAPITAL FINANCE CORP CENTRAL
"COMERICA BANK, A TEXAS BANKING ASSOCIATION",61,financial_117,COMERICA BANK
CONFORMIS CARES LLC,61,financial_3072,CONFORMIS CARES LLC
"CONFORMIS, INC.",61,financial_3073,CONFORMIS INC
"DYMAS FUNDING COMPANY, LLC",61,financial_369,DYMAS FUNDING CO LLC
"IMATX, INC.",61,financial_4316,IMATX INC
"U.S BANK, NATIONAL ASSOCIATION",61,financial_3,US BANK NA
"WELLS FARGO FOOTHILL, INC. (FKA FOOTHILL CAPITAL CORPORATION)",61,financial_1103,WELLS FARGO BANK NA
"BAIN CAPITAL CREDIT, LP",60,financial_91,BAIN CAPITAL CREDIT
BEARCUB ACQUISITIONS LLC,60,financial_2179,BEARCUB ACQUISITIONS LLC
CHASE COMMERCIAL CORPORATION,60,financial_233,CHASE COMMERCIAL CORP
COMERICA BANK-CALIFORNIA,60,financial_117,COMERICA BANK
"DEERFIELD PRIVATE DESIGN FUND III, L.P.",60,financial_339,DEERFIELD DESIGN FUND II
"DEERFIELD PRIVATE DESIGN FUND III, L.P., AS COLLATERAL AGENT",60,financial_339,DEERFIELD DESIGN FUND II
FBC HOLDINGS S.A R.L,60,financial_3761,FBC HOLDINGS SA R L
"GUGGENHEIM CORPORATE FUNDING, LLC, AS AGENT",60,financial_515,GUGGENHEIM CORPORATE FUNDING LLC
HUDSON BAY MASTER FUND LTD,60,financial_564,HUDSON BAY MASTER FUND
"MUFG UNION BANK, N.A., AS COLLATERAL AGENT",60,financial_739,MUFG UNION BANK NA
"OCM TEKNI-PLEX HOLDINGS II, L.P.",60,financial_5249,OCM TEKNI-PLEX HOLDINGS II LP
"SOLAR CAPITAL LTD., AS AGENT",60,financial_973,SOLAR CAPITAL
UBS LIMITED,60,financial_2700,UBS LTD
"BANK OF AMERICA, N.A., AS COLLATERAL AGENT (INCLUDING AS SUCCESSOR COLLATERAL AGENT TO CITICORP NORTH AMERICA, INC.)",59,financial_43,BANK OF AMERICA NA
FIRST UNION NATIONAL BANK,59,financial_437,FIRST UNION NATIONAL BANK
IVY INVESTMENT MANAGEMENT COMPANY,59,financial_596,IVY INVESTMENT MANAGEMENT CO
"MANNING, WILLIAM",59,financial_4775,MANNING WILLIAM
SOUTHEAST BANK N.A.,59,financial_977,SOUTHEAST BANK NA
"SOUTHEAST BANK, N.A., MIDLAND BANK PLC AND CREDIT LYONNAIS",59,financial_977,SOUTHEAST BANK NA
"STRUCTURED ALPHA LP, BY ITS GENERAL PARTNER THOMVEST ASSET MANAGEMENT LTD.",59,financial_1000,STRUCTURED ALPHA
"U.S. BANK NATIONAL ASSOCIATION, AS SUCCESSOR COLLATERAL AGENT TO BANK OF AMERICA, N.A. (AS SUCCESSOR TO LASALLE BANK NATIONAL ASSOCIATION)",59,financial_3,US BANK NA
"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC D/B/A AST TRUST COMPANY (CANADA)",58,financial_47,AMERICAN STOCK TRANSFER & LLC D B A AST CANADA
"CONTRADO BBH FUNDING 2, LLC, AS SECURED PARTY",58,financial_290,CONTRADO BBH FUNDING 2 LLC
"DBD CREDIT FUNDING, LLC",58,financial_334,DBD CREDIT FUNDING LLC
FIP UST LP,58,financial_3796,FIP UST LP
"MELLON BANK, N.A.",58,financial_102,BANK OF NEW YORK MELLON
"WELLS FARGO CAPITAL FINANCE, INC. (F/K/A WELLS FARGO FOOTHILL, INC.)",58,financial_1103,WELLS FARGO BANK NA
"ARCHIBALD, JOHN H.",57,financial_1609,ARCHIBALD JOHN H
CHASE MANHATTAN BANK,57,financial_231,CHASE MANHATTAN BANK
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH, AS ADMINISTRATIVE AGENT FOR THE SECURED PARTIES",57,financial_309,CREDIT SUISSE
"CREDIT SUISSE, AG, CAYMAN ISLANDS BRANCH, AS COLLATERAL AGENT",57,financial_309,CREDIT SUISSE
DEUTSCHE BANK AG NEW YORK BRANK,57,financial_350,DEUTSCHE BANK
"MC CARTNEY, DEREK L.",57,financial_4844,MC CARTNEY DEREK L
"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",57,financial_5413,PEOPLE S UNITED BANK NA
THE PRIVATEBANK AND TRUST COMPANY,57,financial_861,PRIVATEBANK &
"TORONTO-DOMINION BANK, THE",57,financial_1034,TORONTO-DOMINION BANK
U.S. BANK TRUST NATIONAL ASSOCIATION,57,financial_3,US BANK NA
"VPJB, LLC",57,financial_2912,VPJB LLC
"XMARK FUND, L.P.",57,financial_1127,XMARK FUND
"XMARK FUND, LTD.",57,financial_1127,XMARK FUND
HSBC BANK CANADA,56,financial_560,HSBC BANK USA NA
"RHONE GROUP, L.L.C.",56,financial_893,RHONE GROUP LLC
"SILVER POINT FINANCE, L.L.C., AS AGENT",56,financial_951,SILVER POINT FINANCE LLC
"TD BANKNORTH, N.A.",56,financial_2235,TD BANKNORTH NA
"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION, SUCCESSOR IN INTEREST TO U.S. BANK NATIONAL ASSOCIATION",56,financial_3,US BANK NA
"WELLS FARGO BANK, NATIONAL ASSOCIATION, SUCCESSOR BY MERGER TO WACHOVIA BANK, NATIONAL ASSOCIATION, AS AGENT",56,financial_1103,WELLS FARGO BANK NA
APPALOOSA MANAGEMENT L.P.,55,financial_63,APPALOOSA MANAGEMENT
"BANK OF AMERICA, N.A., FORNERLY NATIONSBANK, NATIONAL ASSOCIATION, AS AGENT",55,financial_43,BANK OF AMERICA NA
CALYON NEW YORK BRANCH,55,financial_193,CALYON NEW YORK
DEUTSCHE BANK TRUST COMPANY AMERICANS (F/K/A BANKERS TRUST COMPANY),55,financial_350,DEUTSCHE BANK
"LASALLE BUSINESS CREDIT, LLC",55,financial_637,LASALLE BUSINESS CREDIT
"NEWSTAR FINANCIAL, INC.",55,financial_764,NEWSTAR FINANCIAL
"REGIMENT CAPITAL SPECIAL SITUATIONS FUND V, L.P.",55,financial_886,REGIMENT CAPITAL SPECIAL SITUATIONS FUND V
STATE STREET BANK AND TRUST,55,financial_746,STATE STREET BANK & NA
"THE BANK OF NEW YORK, AS COLLATERAL AGENT",55,financial_102,BANK OF NEW YORK MELLON
"TPG SPECIALTY LENDING, INC., AS ADMINISTRATIVE AGENT",55,financial_1044,TPG SPECIALTY LENDING
WELLS FARGO CAPITAL FINANCE LLC (AS SUCCESSOR BY MERGER TO WACHOVIA CAPITAL FINANCE CORPORATION),55,financial_1103,WELLS FARGO BANK NA
BANKAMERICA CORPORATION,54,financial_5513,BANKAMERICA BUSINESS CREDIT
ICAHN ENTERPRISES HOLDINGS L.P.,54,financial_4287,ICAHN ENTERPRISES HOLDINGS LP
"JEFFERIES FINANCE LLC, AS THE COLLATERAL AGENT",54,financial_599,JEFFERIES FINANCE LLC
